year,exp,type,thr_avg
2053,ssp585,Narrowbody,0.856370612453492
2053,ssp585,Widebody,0.900368279837175
2054,ssp126,Narrowbody,0.856122574840027
2054,ssp126,Widebody,0.900088945690235
2054,ssp245,Narrowbody,0.856135444773979
2054,ssp245,Widebody,0.89984143982902
2054,ssp370,Narrowbody,0.856203715888693
2054,ssp370,Widebody,0.899944264538221
2054,ssp585,Narrowbody,0.856335028678419
2054,ssp585,Widebody,0.90023579498003
2055,ssp126,Narrowbody,0.856062882848141
2055,ssp126,Widebody,0.899747542830316
2055,ssp245,Narrowbody,0.855932959104825
2055,ssp245,Widebody,0.899556667977993
2055,ssp370,Narrowbody,0.856402093036343
2055,ssp370,Widebody,0.900395596104613
2055,ssp585,Narrowbody,0.856268204122079
2055,ssp585,Widebody,0.900158403914397
2056,ssp126,Narrowbody,0.855886778132702
2056,ssp126,Widebody,0.899558323495891
2056,ssp245,Narrowbody,0.85599279151865
2056,ssp245,Widebody,0.89975138298034
2056,ssp370,Narrowbody,0.856200212651832
2056,ssp370,Widebody,0.900119381503414
2056,ssp585,Narrowbody,0.856532035811119
2056,ssp585,Widebody,0.90064977054162
2057,ssp126,Narrowbody,0.855935993478721
2057,ssp126,Widebody,0.899598246897011
2057,ssp245,Narrowbody,0.855952853230224
2057,ssp245,Widebody,0.899768399386042
2057,ssp370,Narrowbody,0.856221911873457
2057,ssp370,Widebody,0.900088390808905
2057,ssp585,Narrowbody,0.856336002463803
2057,ssp585,Widebody,0.90024957508903
2058,ssp126,Narrowbody,0.855836176273828
2058,ssp126,Widebody,0.899512841830862
2058,ssp245,Narrowbody,0.856199693064093
2058,ssp245,Widebody,0.900148091957681
2058,ssp370,Narrowbody,0.85664643510365
2058,ssp370,Widebody,0.900863740494763
2058,ssp585,Narrowbody,0.856273948488729
2058,ssp585,Widebody,0.900014024968747
2059,ssp126,Narrowbody,0.856089175585407
2059,ssp126,Widebody,0.900108162797791
2059,ssp245,Narrowbody,0.856368567489266
2059,ssp245,Widebody,0.900179430057682
2059,ssp370,Narrowbody,0.856533027676013
2059,ssp370,Widebody,0.900474187268246
2059,ssp585,Narrowbody,0.856621630447951
2059,ssp585,Widebody,0.900728440518344
2060,ssp126,Narrowbody,0.856262583885419
2060,ssp126,Widebody,0.900250883702766
