year,exp,type,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko
2038,ssp126,Narrowbody,911249,968058,287426,2166733,405787,2572520
2038,ssp126,Widebody,37300,1017566,777280,1832146,740374,2572520
2038,ssp245,Narrowbody,915626,964196,288858,2168680,403840,2572520
2038,ssp245,Widebody,38161,1017658,780170,1835989,736531,2572520
2038,ssp370,Narrowbody,915443,965444,287317,2168204,404316,2572520
2038,ssp370,Widebody,36254,1020725,779923,1836902,735618,2572520
2038,ssp585,Narrowbody,911086,967149,286130,2164365,408155,2572520
2038,ssp585,Widebody,37658,1014726,777872,1830256,742264,2572520
2039,ssp126,Narrowbody,916377,963342,287127,2166846,405674,2572520
2039,ssp126,Widebody,39870,1014331,780884,1835085,737435,2572520
2039,ssp245,Narrowbody,913317,965199,287327,2165843,406677,2572520
2039,ssp245,Widebody,37021,1017939,777500,1832460,740060,2572520
2039,ssp370,Narrowbody,914049,965113,288156,2167318,405202,2572520
2039,ssp370,Widebody,37666,1015563,780753,1833982,738538,2572520
2039,ssp585,Narrowbody,920351,960252,287648,2168251,404269,2572520
2039,ssp585,Widebody,40166,1016404,782493,1839063,733457,2572520
2040,ssp126,Narrowbody,914470,969136,288095,2171701,407867,2579568
2040,ssp126,Widebody,38658,1018104,779081,1835843,743725,2579568
2040,ssp245,Narrowbody,920370,965601,288879,2174850,404718,2579568
2040,ssp245,Widebody,39490,1017348,785517,1842355,737213,2579568
2040,ssp370,Narrowbody,912751,970599,287134,2170484,409084,2579568
2040,ssp370,Widebody,37866,1016663,780262,1834791,744777,2579568
2040,ssp585,Narrowbody,917307,967251,287968,2172526,407042,2579568
2040,ssp585,Widebody,37691,1020705,781380,1839776,739792,2579568
2041,ssp126,Narrowbody,912066,967430,286854,2166350,406170,2572520
2041,ssp126,Widebody,36275,1017179,779016,1832470,740050,2572520
2041,ssp245,Narrowbody,918840,962115,288208,2169163,403357,2572520
2041,ssp245,Widebody,39627,1016597,781284,1837508,735012,2572520
2041,ssp370,Narrowbody,916980,963152,289268,2169400,403120,2572520
2041,ssp370,Widebody,38271,1017783,781287,1837341,735179,2572520
2041,ssp585,Narrowbody,909209,969692,287115,2166016,406504,2572520
2041,ssp585,Widebody,36041,1018673,776442,1831156,741364,2572520
2042,ssp126,Narrowbody,917242,962817,287953,2168012,404508,2572520
2042,ssp126,Widebody,39207,1016788,779678,1835673,736847,2572520
2042,ssp245,Narrowbody,918985,960492,288117,2167594,404926,2572520
2042,ssp245,Widebody,40185,1014348,782349,1836882,735638,2572520
2042,ssp370,Narrowbody,912185,966773,287758,2166716,405804,2572520
2042,ssp370,Widebody,37055,1017327,778345,1832727,739793,2572520
2042,ssp585,Narrowbody,910480,969311,285619,2165410,407110,2572520
2042,ssp585,Widebody,35099,1019627,776888,1831614,740906,2572520
2043,ssp126,Narrowbody,915510,964840,287740,2168090,404430,2572520
