year,exp,type,cnt,thr_red_avg,thr_avg
2034,ssp370,Widebody,966078,11.3298,0.886702
2034,ssp370,Narrowbody,1021618,5.93372,0.9406628
2034,ssp370,Widebody,814653,8.47894,0.9152106
2034,ssp585,Narrowbody,1201778,21.5894,0.784106
2034,ssp585,Widebody,965751,11.3026,0.886974
2034,ssp585,Narrowbody,1021093,5.90908,0.9409092
2034,ssp585,Widebody,813464,8.45395,0.9154605
2035,ssp126,Narrowbody,1201891,21.5974,0.784026
2035,ssp126,Widebody,966619,11.3528,0.886472
2035,ssp126,Narrowbody,1021320,5.949,0.94051
2035,ssp126,Widebody,816027,8.49192,0.9150808
2035,ssp245,Narrowbody,1201318,21.5885,0.784115
2035,ssp245,Widebody,965490,11.3289,0.886711
2035,ssp245,Narrowbody,1019391,5.94234,0.9405766
2035,ssp245,Widebody,813757,8.48187,0.9151813
2035,ssp370,Narrowbody,1201176,21.5931,0.784069
2035,ssp370,Widebody,964789,11.3225,0.886775
2035,ssp370,Narrowbody,1021067,5.91295,0.9408705
2035,ssp370,Widebody,813486,8.46686,0.9153314
2035,ssp585,Narrowbody,1201529,21.5784,0.784216
2035,ssp585,Widebody,964139,11.3089,0.886911
2035,ssp585,Narrowbody,1020268,5.89427,0.9410573
2035,ssp585,Widebody,810726,8.46237,0.9153763
2036,ssp126,Narrowbody,1205162,21.5915,0.784085
2036,ssp126,Widebody,969231,11.3481,0.886519
2036,ssp126,Narrowbody,1023367,5.96692,0.9403308
2036,ssp126,Widebody,816256,8.52455,0.9147545
2036,ssp245,Narrowbody,1205081,21.6163,0.783837
2036,ssp245,Widebody,970078,11.3652,0.886348
2036,ssp245,Narrowbody,1025350,5.96516,0.9403484
2036,ssp245,Widebody,818989,8.50662,0.9149338
2036,ssp370,Narrowbody,1204891,21.6109,0.783891
2036,ssp370,Widebody,968817,11.3364,0.886636
2036,ssp370,Narrowbody,1023681,5.94208,0.9405792
2036,ssp370,Widebody,816945,8.48267,0.9151733
2036,ssp585,Narrowbody,1205168,21.5981,0.784019
2036,ssp585,Widebody,968734,11.3677,0.886323
2036,ssp585,Narrowbody,1024162,5.95546,0.9404454
2036,ssp585,Widebody,817316,8.49997,0.9150003
2037,ssp126,Narrowbody,1201476,21.6126,0.783874
2037,ssp126,Widebody,966754,11.3882,0.886118
2037,ssp126,Narrowbody,1021917,5.99025,0.9400975
2037,ssp126,Widebody,815912,8.54266,0.9145734
2037,ssp245,Narrowbody,1201305,21.6035,0.783965
2037,ssp245,Widebody,965354,11.3155,0.886845
2037,ssp245,Narrowbody,1021144,5.91787,0.9408213
2037,ssp245,Widebody,813835,8.46381,0.9153619
