"our.icao","iata.code","iata.traffic","our.name","our.lat","our.lon","lido.rwy","lido.len","lido.toda"
"MYGF","FPO",308353,"Grand Bahama International Airport",26.5587005615,-78.695602417,"RW06",10979,10979
"MYGF","FPO",308353,"Grand Bahama International Airport",26.5587005615,-78.695602417,"RW24",10979,10979
"CYXL","YXL",307454,"Sioux Lookout Airport",50.113899230957,-91.9052963256836,"RW16",5300,6284
"CYXL","YXL",307454,"Sioux Lookout Airport",50.113899230957,-91.9052963256836,"RW34",5300,6000
"WPDL","DIL",307394,"Presidente Nicolau Lobato International Airport",-8.54640007019,125.526000977,"RW26",6070,6070
"WPDL","DIL",307394,"Presidente Nicolau Lobato International Airport",-8.54640007019,125.526000977,"RW08",6070,6070
"KAZO","AZO",306909,"Kalamazoo Battle Creek International Airport",42.2349014282227,-85.5521011352539,"RW23",3438,3439
"KAZO","AZO",306909,"Kalamazoo Battle Creek International Airport",42.2349014282227,-85.5521011352539,"RW27",2800,2800
"KAZO","AZO",306909,"Kalamazoo Battle Creek International Airport",42.2349014282227,-85.5521011352539,"RW09",2800,2800
"KAZO","AZO",306909,"Kalamazoo Battle Creek International Airport",42.2349014282227,-85.5521011352539,"RW05",3438,3439
"KAZO","AZO",306909,"Kalamazoo Battle Creek International Airport",42.2349014282227,-85.5521011352539,"RW17",6502,6502
"KAZO","AZO",306909,"Kalamazoo Battle Creek International Airport",42.2349014282227,-85.5521011352539,"RW35",6502,6502
"EFKT","KTT",306157,"Kittilä Airport",67.700996398926,24.846799850464,"RW34",8202,8202
"EFKT","KTT",306157,"Kittilä Airport",67.700996398926,24.846799850464,"RW16",8202,8202
"CYSB","YSB",305137,"Sudbury Airport",46.625,-80.7988967895508,"RW12",5000,5984
"CYSB","YSB",305137,"Sudbury Airport",46.625,-80.7988967895508,"RW04",6600,7584
"CYSB","YSB",305137,"Sudbury Airport",46.625,-80.7988967895508,"RW22",6600,7584
"CYSB","YSB",305137,"Sudbury Airport",46.625,-80.7988967895508,"RW30",5000,5984
"OAHR","HEA",304896,"Herat International Airport",34.209999,62.228298,"RW18",9888,10381
"OAHR","HEA",304896,"Herat International Airport",34.209999,62.228298,"RW36",9888,10184
"CYFB","YFB",304694,"Iqaluit Airport",63.756402,-68.555801,"RW34",8605,9589
"CYFB","YFB",304694,"Iqaluit Airport",63.756402,-68.555801,"RW16",8605,9589
