year,exp,type,zone,todr_avg,todr_avg_loess
2032,ssp126,Narrowbody,Temperate,2934.57,2934.46475195941
2032,ssp126,Widebody,Temperate,3379.88,3379.83757353049
2032,ssp245,Narrowbody,Temperate,2934.4,2934.50588678183
2032,ssp245,Widebody,Temperate,3380.065,3379.88113634707
2032,ssp370,Narrowbody,Temperate,2933.625,2935.39255619465
2032,ssp370,Widebody,Temperate,3378.525,3380.67325032024
2032,ssp585,Narrowbody,Temperate,2935.815,2935.21711933672
2032,ssp585,Widebody,Temperate,3381.58,3380.40592474165
2033,ssp126,Narrowbody,Temperate,2935.125,2934.54417849868
2033,ssp126,Widebody,Temperate,3379.635,3379.9099618349
2033,ssp245,Narrowbody,Temperate,2937.705,2934.55532597982
2033,ssp245,Widebody,Temperate,3382.615,3379.91556317199
2033,ssp370,Narrowbody,Temperate,2941.455,2935.53094493336
2033,ssp370,Widebody,Temperate,3383.645,3380.763399465
2033,ssp585,Narrowbody,Temperate,2935.705,2935.37236563911
2033,ssp585,Widebody,Temperate,3380.41,3380.51995577635
2034,ssp126,Narrowbody,Temperate,2931.99,2934.62340049817
2034,ssp126,Widebody,Temperate,3377.03,3379.98136322013
2034,ssp245,Narrowbody,Temperate,2934.77,2934.60898080611
2034,ssp245,Widebody,Temperate,3378.06,3379.95306336518
2034,ssp370,Narrowbody,Temperate,2935.845,2935.67272182566
2034,ssp370,Widebody,Temperate,3380.985,3380.8562829271
2034,ssp585,Narrowbody,Temperate,2937.785,2935.5339777721
2034,ssp585,Widebody,Temperate,3381.5,3380.63864063319
2035,ssp126,Narrowbody,Temperate,2930.9,2934.7021835899
2035,ssp126,Widebody,Temperate,3377.205,3380.05132172989
2035,ssp245,Narrowbody,Temperate,2935.17,2934.66681666071
2035,ssp245,Widebody,Temperate,3380.47,3379.99346309327
2035,ssp370,Narrowbody,Temperate,2938.105,2935.81795788462
2035,ssp370,Widebody,Temperate,3383.545,3380.95194119739
2035,ssp585,Narrowbody,Temperate,2936.97,2935.70156555917
2035,ssp585,Widebody,Temperate,3381.22,3380.76152740687
2036,ssp126,Narrowbody,Temperate,2932.935,2934.78029340593
2036,ssp126,Widebody,Temperate,3378.65,3380.11938140788
2036,ssp245,Narrowbody,Temperate,2929.75,2934.72879894365
2036,ssp245,Widebody,Temperate,3375.72,3380.03658852293
2036,ssp370,Narrowbody,Temperate,2935.65,2935.96672412332
2036,ssp370,Widebody,Temperate,3380.22,3381.05041476675
2036,ssp585,Narrowbody,Temperate,2935.845,2935.87473882379
2036,ssp585,Widebody,Temperate,3380.695,3380.88816419209
2037,ssp126,Narrowbody,Temperate,2932.825,2934.86204296073
2037,ssp126,Widebody,Temperate,3379.535,3380.19265915976
2037,ssp245,Narrowbody,Temperate,2936.66,2934.79639976956
2037,ssp245,Widebody,Temperate,3381.43,3380.08561966939
2037,ssp370,Narrowbody,Temperate,2938.025,2936.12044172275
2037,ssp370,Widebody,Temperate,3382.26,3381.15221262332
2037,ssp585,Narrowbody,Temperate,2938.7,2936.06117339659
2037,ssp585,Widebody,Temperate,3383.825,3381.02600257636
2038,ssp126,Narrowbody,Temperate,2938.01,2934.95086130131
2038,ssp126,Widebody,Temperate,3382.04,3380.27681446173
2038,ssp245,Narrowbody,Temperate,2933.08,2934.87076777606
2038,ssp245,Widebody,Temperate,3377.78,3380.14307256269
2038,ssp370,Narrowbody,Temperate,2936.565,2936.28002570478
2038,ssp370,Widebody,Temperate,3380.965,3381.25764093971
2038,ssp585,Narrowbody,Temperate,2938.075,2936.26678832874
2038,ssp585,Widebody,Temperate,3382.925,3381.1808334782
2039,ssp126,Narrowbody,Temperate,2935.275,2935.0451881086
2039,ssp126,Widebody,Temperate,3381.32,3380.36920521325
2039,ssp245,Narrowbody,Temperate,2937.17,2934.95138314759
2039,ssp245,Widebody,Temperate,3383.07,3380.20777739167
2039,ssp370,Narrowbody,Temperate,2933.2,2936.44478784378
2039,ssp370,Widebody,Temperate,3377.445,3381.3664359835
2039,ssp585,Narrowbody,Temperate,2930.005,2936.48855827451
2039,ssp585,Widebody,Temperate,3376.155,3381.34971398887
2040,ssp126,Narrowbody,Temperate,2937.5,2935.14346306349
2040,ssp126,Widebody,Temperate,3382.85,3380.4671893138
2040,ssp245,Narrowbody,Temperate,2932.905,2935.03772606858
2040,ssp245,Widebody,Temperate,3378.6,3380.27856434517
2040,ssp370,Narrowbody,Temperate,2937.395,2936.6140399141
2040,ssp370,Widebody,Temperate,3381.53,3381.47833402224
2040,ssp585,Narrowbody,Temperate,2936.51,2936.7234578882
2040,ssp585,Widebody,Temperate,3381.32,3381.52970119962
2041,ssp126,Narrowbody,Temperate,2936.985,2935.24412584689
2041,ssp126,Widebody,Temperate,3380.645,3380.56812466285
2041,ssp245,Narrowbody,Temperate,2932.005,2935.12927672348
2041,ssp245,Widebody,Temperate,3378.27,3380.35426361204
2041,ssp370,Narrowbody,Temperate,2935.3,2936.78709369009
2041,ssp370,Widebody,Temperate,3380.475,3381.59307132352
2041,ssp585,Narrowbody,Temperate,2940.52,2936.96846182408
2041,ssp585,Widebody,Temperate,3384.18,3381.71785220173
2042,ssp126,Narrowbody,Temperate,2934.485,2935.3456161397
2042,ssp126,Widebody,Temperate,3380.465,3380.66936915988
2042,ssp245,Narrowbody,Temperate,2932.525,2935.22551529675
2042,ssp245,Widebody,Temperate,3379.005,3380.43370538111
2042,ssp370,Narrowbody,Temperate,2938.34,2936.96326094612
2042,ssp370,Widebody,Temperate,3382.68,3381.7103841549
2042,ssp585,Narrowbody,Temperate,2941.465,2937.22054473644
2042,ssp585,Widebody,Temperate,3385.335,3381.91122408644
2043,ssp126,Narrowbody,Temperate,2936.465,2935.44637362284
2043,ssp126,Widebody,Temperate,3381.505,3380.76828070435
2043,ssp245,Narrowbody,Temperate,2934.42,2935.32592197281
