year,ssp,zone,type,avg_todr,avg_thr,avg_pax_rem,avg_todr_loe,avg_thr_loe,avg_pax_rem_loe
2028,ssp370,Temperate,Widebody,3149.43062822719,0.936609891616867,21.4942448120106,3149.72111395389,0.936693835275448,21.3806555954205
2028,ssp585,Temperate,Narrowbody,2848.21650242326,0.877805414026979,10.3148590253579,2849.21054671384,0.878252738183245,10.4086128767249
2028,ssp585,Temperate,Widebody,3144.70634879725,0.93629990312457,21.7329654302169,3148.97351592226,0.936669420926432,21.5360465845085
2029,ssp126,Temperate,Narrowbody,2852.48778675283,0.878541950539904,10.4426420646761,2850.88271323529,0.878387092632878,10.3864298319301
2029,ssp126,Temperate,Widebody,3152.92759482759,0.937244513903793,21.6784201683809,3152.69031916714,0.936771259840553,21.4601787790084
2029,ssp245,Temperate,Narrowbody,2849.75756865913,0.878509804852747,10.5240314572819,2849.54592694115,0.878233802559816,10.3703849757077
2029,ssp245,Temperate,Widebody,3154.02614853195,0.936800643053627,21.3662346060985,3149.08908292214,0.936672958706129,21.4244567312682
2029,ssp370,Temperate,Narrowbody,2849.00411147011,0.878003180142084,10.2770168300187,2849.59756576313,0.878272600483799,10.3652343135109
2029,ssp370,Temperate,Widebody,3153.52628027682,0.9363379444564,21.2701737945253,3149.81670937103,0.936708794943844,21.3864169945026
2029,ssp585,Temperate,Narrowbody,2849.60546849758,0.878409979249111,10.4550366913635,2849.28325991158,0.878266835338211,10.4118830608435
2029,ssp585,Temperate,Widebody,3150.37101036269,0.936840940380139,21.5566850769757,3148.93635609261,0.936692896975944,21.5424318304074
2030,ssp126,Temperate,Narrowbody,2850.60836833603,0.878319333685598,10.4263683995042,2850.94783528881,0.878400571986124,10.3892087438513
2030,ssp126,Temperate,Widebody,3151.75805363322,0.93659277227993,21.6244645370879,3152.85952427045,0.936782593437355,21.4585092708177
2030,ssp245,Temperate,Narrowbody,2850.34938610662,0.878387684098546,10.4039036938239,2849.61229703484,0.878245293632165,10.3726900096269
2030,ssp245,Temperate,Widebody,3154.48488754325,0.936602134511592,21.2111715837013,3149.07808231432,0.93669500681988,21.4296016279563
2030,ssp370,Temperate,Narrowbody,2850.18211631664,0.87838032933109,10.4076426206525,2849.66318256112,0.878283641713143,10.3674811030709
2030,ssp370,Temperate,Widebody,3149.79169827586,0.936821403803104,21.6990704041419,3149.91121354591,0.936725435450697,21.3924425528431
2030,ssp585,Temperate,Narrowbody,2849.28466882068,0.878382075291761,10.4611337205355,2849.36094210399,0.87828180564247,10.4153371384048
2030,ssp585,Temperate,Widebody,3147.60190846286,0.936628292822107,21.3327150894626,3148.90434042702,0.936717125488956,21.5488352407126
2031,ssp126,Temperate,Narrowbody,2849.22052504039,0.878146058844256,10.329718850779,2851.01166089877,0.878414050447266,10.3920388603404
2031,ssp126,Temperate,Widebody,3155.49983506945,0.936215453128733,21.1712655633481,3153.02389641077,0.936794214927971,21.4572624876272
2031,ssp245,Temperate,Narrowbody,2848.86025848142,0.877936415945074,10.3604418534622,2849.67676374999,0.878256597172294,10.3749559473105
2031,ssp245,Temperate,Widebody,3148.50069084629,0.936295212229965,21.216301837403,3149.06961502237,0.936716429948392,21.4349607723652
2031,ssp370,Temperate,Narrowbody,2849.56075928918,0.878153916168497,10.4578837065345,2849.7352738658,0.87829588851076,10.3700234200134
2031,ssp370,Temperate,Widebody,3153.44462608695,0.935903929242174,20.8865284896252,3150.0047119371,0.936743683854214,21.3987542253032
2031,ssp585,Temperate,Narrowbody,2850.58438610662,0.878286315720274,10.4260110572206,2849.44377571649,0.878297665097755,10.4189782384564
2031,ssp585,Temperate,Widebody,3151.83538062284,0.936556259205364,21.544021358748,3148.87792844414,0.936742145608567,21.555279060349
2032,ssp126,Temperate,Narrowbody,2851.20813408724,0.878421808559128,10.3147058344382,2851.07417368361,0.878427475583738,10.3949026760736
2032,ssp126,Temperate,Widebody,3153.52125649913,0.936851558184402,21.1397496195442,3153.18318165446,0.936806060494662,21.4563861549417
2032,ssp245,Temperate,Narrowbody,2849.05980613893,0.878197142482649,10.3408999914768,2849.73973412724,0.878267753918897,10.377190241001
2032,ssp245,Temperate,Widebody,3143.41165523156,0.936849447870694,21.6168159863291,3149.06412719106,0.936737270967713,21.4404591826146
2032,ssp370,Temperate,Narrowbody,2849.24684168013,0.878184486643126,10.3202470483371,2849.81353024209,0.878309285817876,10.3728408111477
2032,ssp370,Temperate,Widebody,3153.64809358752,0.936392462817504,21.0629635483974,3150.09729000313,0.936763467212604,21.4053739667441
2032,ssp585,Temperate,Narrowbody,2850.38619547658,0.878366390962238,10.4356822250144,2849.53194317449,0.878314429705802,10.422809490046
2032,ssp585,Temperate,Widebody,3155.04778546713,0.936681626658391,21.3089779757606,3148.85757966261,0.936767996477875,21.5617855342415
2033,ssp126,Temperate,Narrowbody,2849.3504361874,0.878281143148643,10.3494621493974,2851.13535726175,0.878440794962976,10.3977826857272
2033,ssp126,Temperate,Widebody,3146.11347341338,0.937037827575729,21.927044336478,3153.3371260679,0.936818066319686,21.4558279982661
2033,ssp245,Temperate,Narrowbody,2850.0601453958,0.878487915983635,10.5391504279892,2849.80161520722,0.878278804610669,10.3794003429407
2033,ssp245,Temperate,Widebody,3150.67499134948,0.936663952503461,21.5487651636738,3149.06206496521,0.936757572753894,21.4460218768242
2033,ssp370,Temperate,Narrowbody,2849.30194668821,0.87815934745109,10.3636275288749,2849.89764225488,0.878323778575714,10.3759128232832
2033,ssp370,Temperate,Widebody,3149.00296551724,0.936571194393362,21.481940921958,3150.18903320257,0.936784712584074,21.4123237320269
2033,ssp585,Temperate,Narrowbody,2849.09041195477,0.878064637191518,10.3792413094814,2849.62562690342,0.878332115468344,10.4268340222214
2033,ssp585,Temperate,Widebody,3150.48940311419,0.936182331648616,21.2544492028099,3148.84375360106,0.93679471723998,21.5683769073151
2034,ssp126,Temperate,Narrowbody,2848.01089660743,0.878100295953554,10.3491683522645,2851.19519525161,0.878453956152418,10.4006613839773
2034,ssp126,Temperate,Widebody,3154.53465277778,0.93600218303151,20.7941396305176,3153.48547571743,0.936830168585304,21.4555357431054
2034,ssp245,Temperate,Narrowbody,2849.90857835218,0.878026245797003,10.2923065052643,2849.86281403058,0.878289789986303,10.3815937053721
2034,ssp245,Temperate,Widebody,3145.4358490566,0.936839946043483,21.7832577410343,3149.0638744896,0.936777378182985,21.4515738731136
2034,ssp370,Temperate,Narrowbody,2850.57668820679,0.878355890706615,10.3627669208586,2849.98730046908,0.878339311725503,10.3792190032293
2034,ssp370,Temperate,Widebody,3150.5709671848,0.936732702517186,21.4013958378298,3150.28002699396,0.936807347026832,21.4196254760129
2034,ssp585,Temperate,Narrowbody,2849.87040387722,0.878278460236171,10.4410166292036,2849.72500932868,0.878350738387116,10.4310549640302
2034,ssp585,Temperate,Widebody,3151.27234024179,0.936736463834629,21.2434409445735,3148.83690977814,0.93682234703798,21.5750754244947
2035,ssp126,Temperate,Narrowbody,2851.22054927302,0.87831152390307,10.3749206674559,2851.25367127161,0.878466906719499,10.4035212655001
2035,ssp126,Temperate,Widebody,3149.99756476684,0.936704415328411,21.206844600401,3153.62797666944,0.936842303473777,21.4554571149645
2035,ssp245,Temperate,Narrowbody,2851.09913570275,0.878366854987721,10.3875360432752,2849.92373763793,0.878300750784495,10.3837777805375
2035,ssp245,Temperate,Widebody,3151.30552586207,0.937004596260172,21.441977167826,3149.07000190904,0.936796730131034,21.4570401896024
2035,ssp370,Temperate,Narrowbody,2851.31041195476,0.878489968037391,10.3662710927804,2850.08219544959,0.878355830208467,10.3827388977952
2035,ssp370,Temperate,Widebody,3147.72840206186,0.937345325915722,21.8987720541632,3150.37035683586,0.936831297599088,21.4273011535631
2035,ssp585,Temperate,Narrowbody,2851.29206785137,0.878566705249799,10.3900520018662,2849.8302728757,0.878370314463851,10.4354754445201
2035,ssp585,Temperate,Widebody,3154.22947231834,0.937127671522579,21.7121833345066,3148.8375077125,0.936850925014972,21.5819033307053
2036,ssp126,Temperate,Narrowbody,2851.08664781906,0.878134088137238,10.2792125726812,2851.31076894018,0.878479594231655,10.4063448249719
2036,ssp126,Temperate,Widebody,3152.94679065744,0.936663947989533,21.5032914021398,3153.76437499027,0.936854407167363,21.4555398393485
2036,ssp245,Temperate,Narrowbody,2851.68495153473,0.878309811834605,10.288486561523,2849.98479306993,0.87831172774394,10.3859600206794
2036,ssp245,Temperate,Widebody,3150.85518134715,0.936915370052073,21.4288081381415,3149.08089336831,0.936815671474093,21.4623458444103
2036,ssp370,Temperate,Narrowbody,2849.6789822294,0.878263027272779,10.3554340271387,2850.18201776133,0.878373278965832,10.3864520537904
2036,ssp370,Temperate,Widebody,3147.39767241379,0.936699848801638,21.2027328881827,3150.46010818681,0.936856491359047,21.4353727195388
2036,ssp585,Temperate,Narrowbody,2847.72162358643,0.878216010954039,10.4414560841235,2849.94159996989,0.878390859700285,10.4400985927388
2036,ssp585,Temperate,Widebody,3146.98752151463,0.936499539835801,21.3519077108137,3148.84600692277,0.936880490314057,21.5888828708718
