zone,exp,year,avg_tas,max_tas,avg_rho,min_rho,avg_hdw
Temperate,ssp245,2069,1.12860274422229,2.46600000000001,-0.00437695660483906,0.00804400000000005,-0.0438920671032879
Temperate,ssp245,2070,0.931948836970605,0.138000000000034,-0.00562381991514527,0.000726000000000004,0.104110860608291
Temperate,ssp245,2071,0.787938171240285,2.048,-0.00508059881164491,0.00214600000000009,-0.0473556161636646
Temperate,ssp245,2072,0.850882408842267,1.77600000000001,-0.00644203857827752,0.00191200000000002,0.0255775135318004
Temperate,ssp245,2073,0.79385488612138,1.13100000000003,-0.00497943126700884,0.004274,-0.0256879704332063
Temperate,ssp245,2074,1.28378182738459,1.46700000000004,-0.00702429905516322,0.00572700000000004,0.0544077520570161
Temperate,ssp245,2075,1.06401130688744,2.74400000000003,-0.005399285892429,0.00664700000000007,-0.0147862749277987
Temperate,ssp245,2076,1.25447789021541,3.13600000000002,-0.00685430141557486,0.00481600000000004,-0.107356627768933
Temperate,ssp245,2077,1.41739917649693,4.10300000000001,-0.00741288597713274,0.00323300000000004,-0.015060645423989
Temperate,ssp245,2078,1.19546459293611,1.65800000000002,-0.00646425188304867,0.00153400000000004,-0.00672768397861479
Temperate,ssp245,2079,1.18769068452559,1.25800000000004,-0.00522663913987076,0.00534100000000004,-0.0389883418564896
Temperate,ssp245,2080,1.290692364601,1.39800000000002,-0.00611166304413269,0.00259700000000007,-0.0472091881286696
Temperate,ssp245,2081,1.15766069028183,2.202,-0.00735816815472901,0.00618300000000005,0.046105930995993
Temperate,ssp245,2082,1.32856401480348,1.36200000000002,-0.00734362572815539,0.00953100000000007,0.0440415555664151
Temperate,ssp245,2083,1.31929587218139,0.801000000000045,-0.00529163741155636,-0.00272799999999995,0.0010800966086606
Temperate,ssp245,2084,1.32030090409614,0.222000000000037,-0.00527952542279686,0.00747400000000009,-0.0505980173159362
Temperate,ssp245,2085,1.45607644496323,3.04900000000004,-0.00669153995712768,0.00546400000000002,-0.137211720566445
Temperate,ssp245,2086,1.66323792205833,2.70000000000005,-0.00585894574914958,0.00601700000000005,-0.140615247223754
Temperate,ssp245,2087,1.43665707455381,1.863,-0.00809601568644602,0.004915,-0.0480356284659322
Temperate,ssp245,2088,1.41063278416641,1.75,-0.00683655818092266,0.00516700000000003,-0.0408367928933791
Temperate,ssp245,2089,1.25234558712089,0.336000000000013,-0.00734005611147004,0.00581100000000001,-0.00313290938656952
Temperate,ssp245,2090,1.40692704747465,2.11500000000001,-0.00653370648178808,0.00836900000000007,-0.00818291373956903
Temperate,ssp245,2091,1.44063880403985,2.07500000000005,-0.00615586862379591,0.00620100000000001,-0.0845751615655885
Temperate,ssp245,2092,1.59019637412007,1.70100000000002,-0.00704066039343521,0.002884,-0.0746766129735095
Temperate,ssp245,2093,1.62294957001751,3.49800000000005,-0.00687344706357318,0.00629200000000008,-0.172424217114847
Temperate,ssp245,2094,1.3748751554046,1.79200000000003,-0.0071279781571032,0.00202000000000002,0.0440558374612312
Temperate,ssp245,2095,1.38430298195163,0.795000000000016,-0.00692243196757958,0.0027910000000001,-0.0123340221731363
Temperate,ssp245,2096,1.49926005569023,1.613,-0.00611766519211998,0.00146800000000002,-0.0798652197040095
Temperate,ssp245,2097,1.3273540255139,1.88100000000003,-0.00664908514413543,0.00638400000000006,-0.105799923734801
Temperate,ssp245,2098,1.39735368237825,1.10600000000005,-0.00677156310683502,0.0048180000000001,0.0470406548955262
Temperate,ssp245,2099,1.17048519788489,1.31100000000004,-0.00574631729637121,-0.00449499999999992,0.0261815904894167
Temperate,ssp245,2100,1.62110372938218,1.118,-0.00643835773398171,-0.000896000000000008,-0.148675752750512
Temperate,ssp370,2015,0,0,0,0,0
Temperate,ssp370,2016,0.195763263760398,1.35899999999998,-0.00150193526839293,0.00403900000000002,0.0734084800471626
Temperate,ssp370,2017,0.295306961080144,1.38099999999997,-0.00395606082852606,-0.00197100000000006,-0.0480820613524751
Temperate,ssp370,2018,0.492032768140234,1.63,-0.00462097094457148,-0.000313000000000008,0.0174440904516509
