year,exp,type,vlof_avg,vlof_avg_loess
2042,ssp585,Widebody,90.07345,90.0652051362235
2043,ssp126,Narrowbody,83.5643,83.5527327064918
2043,ssp126,Widebody,90.03805,90.0235445403231
2043,ssp245,Narrowbody,83.54155,83.5638775210351
2043,ssp245,Widebody,90.0165,90.0360025284403
2043,ssp370,Narrowbody,83.57635,83.5909404273063
2043,ssp370,Widebody,90.04795,90.0622956743767
2043,ssp585,Narrowbody,83.6231,83.5990322029275
2043,ssp585,Widebody,90.09955,90.0705962478185
2044,ssp126,Narrowbody,83.53555,83.5540474157131
2044,ssp126,Widebody,90.0081,90.0248655763423
2044,ssp245,Narrowbody,83.5472,83.5668014659865
2044,ssp245,Widebody,90.0219,90.0390140725122
2044,ssp370,Narrowbody,83.61155,83.5960016048027
2044,ssp370,Widebody,90.09225,90.0673755347891
2044,ssp585,Narrowbody,83.60725,83.604597903053
2044,ssp585,Widebody,90.0796,90.0760930672234
2045,ssp126,Narrowbody,83.57685,83.5553383038996
2045,ssp126,Widebody,90.04785,90.0261710771984
2045,ssp245,Narrowbody,83.56525,83.5697556997046
2045,ssp245,Widebody,90.04175,90.0420422804312
2045,ssp370,Narrowbody,83.5598,83.6010726168724
2045,ssp370,Widebody,90.03005,90.0724613627118
2045,ssp585,Narrowbody,83.6029,83.6102554649721
2045,ssp585,Widebody,90.0764,90.081684052668
2046,ssp126,Narrowbody,83.61015,83.5566196601049
2046,ssp126,Widebody,90.074,90.0274751891192
2046,ssp245,Narrowbody,83.59775,83.5727432714274
2046,ssp245,Widebody,90.06465,90.0450842782831
2046,ssp370,Narrowbody,83.59775,83.6061150082451
2046,ssp370,Widebody,90.06455,90.0775120862327
2046,ssp585,Narrowbody,83.54515,83.6159918395311
2046,ssp585,Widebody,90.0188,90.0873576623819
2047,ssp126,Narrowbody,83.54835,83.5579057733821
2047,ssp126,Widebody,90.0216,90.0287920583322
2047,ssp245,Narrowbody,83.6034,83.5757672303934
2047,ssp245,Widebody,90.07265,90.0481371921537
2047,ssp370,Narrowbody,83.61805,83.6110903236506
2047,ssp370,Widebody,90.09035,90.0824866334395
2047,ssp585,Narrowbody,83.613,83.6217939775759
2047,ssp585,Widebody,90.0799,90.0931023545948
2048,ssp126,Narrowbody,83.51,83.5592357502278
2048,ssp126,Widebody,89.98305,90.0301660007894
2048,ssp245,Narrowbody,83.60355,83.5788444310921
2048,ssp245,Widebody,90.0777,90.0512150649971
2048,ssp370,Narrowbody,83.56635,83.6161588788513
2048,ssp370,Widebody,90.04305,90.0875509071555
2048,ssp585,Narrowbody,83.63495,83.6277688974137
2048,ssp585,Widebody,90.1027,90.0990229123253
2049,ssp126,Narrowbody,83.52715,83.5606186542202
2049,ssp126,Widebody,89.9934,90.0316097379762
2049,ssp245,Narrowbody,83.5512,83.5819815976164
2049,ssp245,Widebody,90.0222,90.0543290004852
2049,ssp370,Narrowbody,83.60625,83.6214687326529
2049,ssp370,Widebody,90.0778,90.0928593884497
2049,ssp585,Narrowbody,83.6887,83.6340011325174
2049,ssp585,Widebody,90.1563,90.1052010365286
2050,ssp126,Narrowbody,83.5682,83.5620237100349
2050,ssp126,Widebody,90.047,90.0330900244204
2050,ssp245,Narrowbody,83.57365,83.5851665836095
2050,ssp245,Widebody,90.0439,90.0574717157806
2050,ssp370,Narrowbody,83.6689,83.6269630443491
2050,ssp370,Widebody,90.13465,90.0983538727782
2050,ssp585,Narrowbody,83.62935,83.640443906482
2050,ssp585,Widebody,90.0985,90.1115905623385
2051,ssp126,Narrowbody,83.5373,83.5634201423475
2051,ssp126,Widebody,90.00605,90.0345736146497
2051,ssp245,Narrowbody,83.6106,83.5883872427144
2051,ssp245,Widebody,90.08735,90.0606359280458
2051,ssp370,Narrowbody,83.71145,83.6325849732341
2051,ssp370,Widebody,90.18235,90.1039761555969
2051,ssp585,Narrowbody,83.63065,83.647050442903
2051,ssp585,Widebody,90.0983,90.1181453248891
2052,ssp126,Narrowbody,83.57035,83.5647771758337
2052,ssp126,Widebody,90.04115,90.0360272631919
2052,ssp245,Narrowbody,83.60215,83.5916314285744
2052,ssp245,Widebody,90.0737,90.0638143544433
2052,ssp370,Narrowbody,83.6479,83.6382776786016
2052,ssp370,Widebody,90.11815,90.1096680323619
2052,ssp585,Narrowbody,83.65645,83.6537739653752
2052,ssp585,Widebody,90.1326,90.1248191593144
2053,ssp126,Narrowbody,83.5821,83.5660640351692
2053,ssp126,Widebody,90.05195,90.0374177245748
2053,ssp245,Narrowbody,83.6075,83.5948869948325
2053,ssp245,Widebody,90.074,90.0669997121358
2053,ssp370,Narrowbody,83.66185,83.6439843197458
2053,ssp370,Widebody,90.12935,90.1153712985292
2053,ssp585,Narrowbody,83.6607,83.660567697494
2053,ssp585,Widebody,90.13215,90.1315659007483
2054,ssp126,Narrowbody,83.59285,83.5672499450296
2054,ssp126,Widebody,90.06285,90.0387117533261
2054,ssp245,Narrowbody,83.6043,83.5981417951319
2054,ssp245,Widebody,90.0714,90.0701847182858
2054,ssp370,Narrowbody,83.65055,83.6496480559604
2054,ssp370,Widebody,90.1244,90.1210277495549
2054,ssp585,Narrowbody,83.6609,83.6673848628544
2054,ssp585,Widebody,90.1333,90.1383393843249
2055,ssp126,Narrowbody,83.5783,83.5683041300905
2055,ssp126,Widebody,90.04985,90.0398761039736
2055,ssp245,Narrowbody,83.57285,83.6013836831157
2055,ssp245,Widebody,90.04785,90.0733620900558
2055,ssp370,Narrowbody,83.6582,83.6552120465396
2055,ssp370,Widebody,90.128,90.1265791808951
2055,ssp585,Narrowbody,83.6628,83.6741786850516
2055,ssp585,Widebody,90.13285,90.1450934451781
2056,ssp126,Narrowbody,83.5508,83.5691958150276
2056,ssp126,Widebody,90.0231,90.0408775310451
2056,ssp245,Narrowbody,83.58135,83.6046005124271
2056,ssp245,Widebody,90.0573,90.0765245446084
2056,ssp370,Narrowbody,83.6378,83.6606194507772
2056,ssp370,Widebody,90.11525,90.1319673880057
2056,ssp585,Narrowbody,83.7048,83.6809023876808
2056,ssp585,Widebody,90.1746,90.1517819184419
2057,ssp126,Narrowbody,83.55135,83.5698942245166
2057,ssp126,Widebody,90.02155,90.0416827890683
2057,ssp245,Narrowbody,83.5886,83.6077801367092
2057,ssp245,Widebody,90.06775,90.0796647991063
2057,ssp370,Narrowbody,83.6479,83.6658134279671
2057,ssp370,Widebody,90.12265,90.1371341663428
2057,ssp585,Narrowbody,83.6934,83.6875091943371
2057,ssp585,Widebody,90.16665,90.1583586392503
2058,ssp126,Narrowbody,83.5404,83.5704015701227
2058,ssp126,Widebody,90.01755,90.0423155622064
2058,ssp245,Narrowbody,83.6282,83.6110132451931
2058,ssp245,Widebody,90.10205,90.0828644291655
2058,ssp370,Narrowbody,83.70245,83.6708181563199
2058,ssp370,Widebody,90.1733,90.1420956779643
2058,ssp585,Narrowbody,83.68325,83.6940721222305
2058,ssp585,Widebody,90.15805,90.1649010796389
2059,ssp126,Narrowbody,83.5716,83.5707551826746
2059,ssp126,Widebody,90.0441,90.0428304223416
2059,ssp245,Narrowbody,83.65375,83.6143747999627
2059,ssp245,Widebody,90.12425,90.0861868922995
2059,ssp370,Narrowbody,83.6957,83.6757078254699
2059,ssp370,Widebody,90.1655,90.1469220805518
2059,ssp585,Narrowbody,83.71115,83.7006911534047
2059,ssp585,Widebody,90.1805,90.1715116176218
2060,ssp126,Narrowbody,83.60495,83.570976965743
2060,ssp126,Widebody,90.0761,90.0432404555795
2060,ssp245,Narrowbody,83.60685,83.6178290639403
2060,ssp245,Widebody,90.08035,90.0895977285164
2060,ssp370,Narrowbody,83.67735,83.6805006118471
2060,ssp370,Widebody,90.15125,90.1516361629968
2060,ssp585,Narrowbody,83.73895,83.707359958706
2060,ssp585,Widebody,90.2077,90.1781814473002
2061,ssp126,Narrowbody,83.5789,83.5710888228987
2061,ssp126,Widebody,90.0524,90.0435587480261
2061,ssp245,Narrowbody,83.58905,83.6213403000483
2061,ssp245,Widebody,90.05825,90.0930624778246
2061,ssp370,Narrowbody,83.66945,83.6852146918814
2061,ssp370,Widebody,90.1403,90.1562607141911
2061,ssp585,Narrowbody,83.74075,83.7140722089804
2061,ssp585,Widebody,90.2172,90.1849017627755
2062,ssp126,Narrowbody,83.5603,83.5711126577126
2062,ssp126,Widebody,90.03205,90.0437983857871
2062,ssp245,Narrowbody,83.6037,83.6248727712088
2062,ssp245,Widebody,90.0751,90.0965466802321
2062,ssp370,Narrowbody,83.6949,83.6898682420026
2062,ssp370,Widebody,90.1707,90.1608185230261
2062,ssp585,Narrowbody,83.70685,83.7208215750743
2062,ssp585,Widebody,90.17955,90.1916637581492
2063,ssp126,Narrowbody,83.5484,83.5710703737554
2063,ssp126,Widebody,90.026,90.0439724549685
2063,ssp245,Narrowbody,83.6343,83.6283907403444
2063,ssp245,Widebody,90.1054,90.1000158757473
2063,ssp370,Narrowbody,83.68,83.6944794386407
2063,ssp370,Widebody,90.1544,90.1653323783935
2063,ssp585,Narrowbody,83.7164,83.7276017278337
2063,ssp585,Widebody,90.1842,90.1984586275225
2064,ssp126,Narrowbody,83.56195,83.5709838745978
2064,ssp126,Widebody,90.03155,90.0440940416761
2064,ssp245,Narrowbody,83.63115,83.6318584703771
2064,ssp245,Widebody,90.09795,90.1034356043782
2064,ssp370,Narrowbody,83.67645,83.6990664582256
2064,ssp370,Widebody,90.1472,90.1698250691848
2064,ssp585,Narrowbody,83.73295,83.7344063381049
2064,ssp585,Widebody,90.20185,90.205277564997
2065,ssp126,Narrowbody,83.5806,83.5708750638107
2065,ssp126,Widebody,90.05345,90.0441762320156
2065,ssp245,Narrowbody,83.63895,83.6352402242294
2065,ssp245,Widebody,90.10445,90.1067714061332
2065,ssp370,Narrowbody,83.68215,83.7036474771871
2065,ssp370,Widebody,90.14905,90.1743193842917
2065,ssp585,Narrowbody,83.76705,83.7412290767338
2065,ssp585,Widebody,90.2371,90.2121117646739
2066,ssp126,Narrowbody,83.6018,83.5707658449648
2066,ssp126,Widebody,90.0734,90.044232112093
2066,ssp245,Narrowbody,83.70695,83.6385002648235
2066,ssp245,Widebody,90.17825,90.1099888210205
2066,ssp370,Narrowbody,83.68495,83.7082406719552
2066,ssp370,Widebody,90.15405,90.1788381126057
2066,ssp585,Narrowbody,83.7244,83.7480636145668
2066,ssp585,Widebody,90.1972,90.2189524206547
2067,ssp126,Narrowbody,83.6168,83.570678121631
2067,ssp126,Widebody,90.0908,90.044274768014
2067,ssp245,Narrowbody,83.65095,83.6416028550817
2067,ssp245,Widebody,90.1214,90.1130533890481
2067,ssp370,Narrowbody,83.738,83.7128642189598
2067,ssp370,Widebody,90.203,90.1834040430185
2067,ssp585,Narrowbody,83.7458,83.7549036224499
2067,ssp585,Widebody,90.21725,90.2257907270407
2068,ssp126,Narrowbody,83.57115,83.57063379738
2068,ssp126,Widebody,90.0433,90.0443172858846
2068,ssp245,Narrowbody,83.6126,83.6445122579263
2068,ssp245,Widebody,90.08425,90.1159306502245
2068,ssp370,Narrowbody,83.75765,83.7175362946308
2068,ssp370,Widebody,90.2291,90.1880399644216
2068,ssp585,Narrowbody,83.7376,83.7617427712294
2068,ssp585,Widebody,90.2042,90.2326178779333
2069,ssp126,Narrowbody,83.57735,83.5705851647431
2069,ssp126,Widebody,90.04975,90.0443254475353
2069,ssp245,Narrowbody,83.61135,83.6473236830371
2069,ssp245,Widebody,90.08305,90.1187119866431
