itr_avg,year,exp,zone,type,itr_sum,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko
48.5126996226415,2057,ssp245,Subtropical,Widebody,15015649,15525,138598,42349,196472,113048,
24.7226707075472,2057,ssp370,Subtropical,Narrowbody,7652161,94295,99119,56456,249870,59650,
48.6323166037736,2057,ssp370,Subtropical,Widebody,15052672,16262,137328,42574,196164,113356,
24.6724129245283,2057,ssp585,Subtropical,Narrowbody,7636606,94644,99323,55769,249736,59784,
48.2621338207547,2057,ssp585,Subtropical,Widebody,14938094,15004,139196,42696,196896,112624,
24.4808183018868,2058,ssp126,Subtropical,Narrowbody,7577303,95497,98665,56077,250239,59281,
47.9684474528302,2058,ssp126,Subtropical,Widebody,14847191,16790,137412,43487,197689,111831,
24.6417116037736,2058,ssp245,Subtropical,Narrowbody,7627103,94471,99275,55920,249666,59854,
48.4794111792453,2058,ssp245,Subtropical,Widebody,15005346,15723,138378,42428,196529,112991,
24.7291047169811,2058,ssp370,Subtropical,Narrowbody,7654152,94112,99365,56074,249551,59969,
48.5474749528302,2058,ssp370,Subtropical,Widebody,15026410,15867,138036,42310,196213,113307,
24.6920411792453,2058,ssp585,Subtropical,Narrowbody,7642681,94176,99616,56113,249905,59615,
48.5670899056604,2058,ssp585,Subtropical,Widebody,15032485,15565,138163,42771,196499,113021,
24.5865525,2059,ssp126,Subtropical,Narrowbody,7610030,94638,99171,56183,249992,59528,
48.2549433490566,2059,ssp126,Subtropical,Widebody,14935868,15712,138511,42737,196960,112560,
24.5672188679245,2059,ssp245,Subtropical,Narrowbody,7604046,94655,99041,56605,250301,59219,
48.4923310377358,2059,ssp245,Subtropical,Widebody,15009345,16438,137202,42902,196542,112978,
24.7155895283019,2059,ssp370,Subtropical,Narrowbody,7649969,94232,99023,56470,249725,59795,
48.6998793867925,2059,ssp370,Subtropical,Widebody,15073587,16491,136936,42267,195694,113826,
24.8421817924528,2059,ssp585,Subtropical,Narrowbody,7689152,93857,99450,56178,249485,60035,
48.853625235849,2059,ssp585,Subtropical,Widebody,15121177,15458,138374,41684,195516,114004,
24.511410990566,2060,ssp126,Subtropical,Narrowbody,7607558,95422,98821,56828,251071,59297,
48.2492810377359,2060,ssp126,Subtropical,Widebody,14975031,16457,138208,43154,197819,112549,
24.5521616037736,2060,ssp245,Subtropical,Narrowbody,7620205,94798,99632,56605,251035,59333,
48.3621866509434,2060,ssp245,Subtropical,Widebody,15010075,15803,138570,43071,197444,112924,
24.730534009434,2060,ssp370,Subtropical,Narrowbody,7675566,94874,98945,56533,250352,60016,
48.4895537735849,2060,ssp370,Subtropical,Widebody,15049603,15729,138299,43086,197114,113254,
24.8236518867925,2060,ssp585,Subtropical,Narrowbody,7704467,94093,99807,56413,250313,60055,
48.7938056132076,2060,ssp585,Subtropical,Widebody,15144035,14875,139144,42428,196447,113921,
24.5732308018868,2061,ssp126,Subtropical,Narrowbody,7605906,94878,98920,56092,249890,59630,
48.2282555660378,2061,ssp126,Subtropical,Widebody,14927608,16746,137413,42635,196794,112726,
24.6009586792453,2061,ssp245,Subtropical,Narrowbody,7614489,94560,99195,56169,249924,59596,
48.3285088207547,2061,ssp245,Subtropical,Widebody,14958645,16419,137235,42991,196645,112875,
24.7444145754717,2061,ssp370,Subtropical,Narrowbody,7658891,94179,99242,56373,249794,59726,
48.5843346698113,2061,ssp370,Subtropical,Widebody,15037824,16000,137671,42393,196064,113456,
24.7975537264151,2061,ssp585,Subtropical,Narrowbody,7675339,94248,98611,56574,249433,60087,
48.6507798584906,2061,ssp585,Subtropical,Widebody,15058386,14801,138419,42873,196093,113427,
24.4868768867925,2062,ssp126,Subtropical,Narrowbody,7579179,95381,98646,56246,250273,59247,
48.0452178773585,2062,ssp126,Subtropical,Widebody,14870955,16787,137504,43074,197365,112155,
24.6785125,2062,ssp245,Subtropical,Narrowbody,7638494,94233,99662,55877,249772,59748,
48.457350754717,2062,ssp245,Subtropical,Widebody,14998518,15065,139212,42447,196724,112796,
24.6974408490566,2062,ssp370,Subtropical,Narrowbody,7644353,94360,99294,56291,249945,59575,
48.6651647641509,2062,ssp370,Subtropical,Widebody,15062841,15447,138259,42514,196220,113300,
24.7596970754717,2062,ssp585,Subtropical,Narrowbody,7663621,93766,99883,56350,249999,59521,
48.8169438207547,2062,ssp585,Subtropical,Widebody,15109821,15666,137707,42438,195811,113709,
24.5596183018868,2063,ssp126,Subtropical,Narrowbody,7601693,94497,99358,56303,250158,59362,
48.2709131132075,2063,ssp126,Subtropical,Widebody,14940809,16043,138040,42905,196988,112532,
24.582563254717,2063,ssp245,Subtropical,Narrowbody,7608795,94549,99204,56162,249915,59605,
48.3402053301887,2063,ssp245,Subtropical,Widebody,14962263,16332,137609,42769,196710,112810,
24.6433831603774,2063,ssp370,Subtropical,Narrowbody,7627621,94465,98849,56519,249833,59687,
48.4215295283019,2063,ssp370,Subtropical,Widebody,14987430,15534,137836,43060,196430,113090,
24.7212444811321,2063,ssp585,Subtropical,Narrowbody,7651719,94399,99293,55783,249475,60045,
48.4900964622642,2063,ssp585,Subtropical,Widebody,15008657,15570,138279,42733,196582,112938,
24.4975645754717,2064,ssp126,Subtropical,Narrowbody,7603260,95086,99265,56858,251209,59159,
48.2198850471698,2064,ssp126,Subtropical,Widebody,14965909,16579,137602,43205,197386,112982,
24.6946983962264,2064,ssp245,Subtropical,Narrowbody,7664444,94603,99531,56477,250611,59757,
48.5193414150943,2064,ssp245,Subtropical,Widebody,15058852,15450,138739,42860,197049,113319,
24.7785062264151,2064,ssp370,Subtropical,Narrowbody,7690455,94147,99754,56596,250497,59871,
48.7907454716981,2064,ssp370,Subtropical,Widebody,15143084,15274,138697,42332,196303,114065,
24.788236745283,2064,ssp585,Subtropical,Narrowbody,7693476,93670,100535,56369,250574,59794,
48.9188723584906,2064,ssp585,Subtropical,Widebody,15182855,15048,138716,42173,195937,114431,
24.4756112264151,2065,ssp126,Subtropical,Narrowbody,7575691,95024,98934,56602,250560,58960,
48.1420183490566,2065,ssp126,Subtropical,Widebody,14900916,16642,137227,43436,197305,112215,
24.6769064622642,2065,ssp245,Subtropical,Narrowbody,7637996,93874,99841,56192,249907,59613,
48.7061279245283,2065,ssp245,Subtropical,Widebody,15075519,15918,137395,42488,195801,113719,
24.761771745283,2065,ssp370,Subtropical,Narrowbody,7664264,94147,99223,56525,249895,59625,
48.7637667924528,2065,ssp370,Subtropical,Widebody,15093361,15876,137796,42299,195971,113549,
24.8460825471698,2065,ssp585,Subtropical,Narrowbody,7690360,93594,99487,56540,249621,59899,
48.954810754717,2065,ssp585,Subtropical,Widebody,15152490,14817,138470,42062,195349,114171,
24.5500537735849,2066,ssp126,Subtropical,Narrowbody,7598733,94869,99113,55872,249854,59666,
48.1018831603774,2066,ssp126,Subtropical,Widebody,14888493,16596,138094,42508,197198,112322,
24.6281571226415,2066,ssp245,Subtropical,Narrowbody,7622908,94597,98698,56818,250113,59407,
48.5466633490566,2066,ssp245,Subtropical,Widebody,15026163,16265,137152,42871,196288,113232,
24.7958730660377,2066,ssp370,Subtropical,Narrowbody,7674819,94179,99513,55856,249548,59972,
48.6975969339623,2066,ssp370,Subtropical,Widebody,15072881,16014,137681,42175,195870,113650,
24.8142370754717,2066,ssp585,Subtropical,Narrowbody,7680502,93782,99586,56215,249583,59937,
48.8160168396227,2066,ssp585,Subtropical,Widebody,15109533,14886,138909,42043,195838,113682,
24.548200235849,2067,ssp126,Subtropical,Narrowbody,7598159,95048,98565,56548,250161,59359,
48.2202471226415,2067,ssp126,Subtropical,Widebody,14925128,16481,137610,42978,197069,112451,
24.5311575471698,2067,ssp245,Subtropical,Narrowbody,7592885,94748,98987,56485,250220,59300,
48.1747914622642,2067,ssp245,Subtropical,Widebody,14911063,15833,138139,43288,197260,112260,
24.7263833490566,2067,ssp370,Subtropical,Narrowbody,7653311,93780,99591,56528,249899,59621,
48.7977712264151,2067,ssp370,Subtropical,Widebody,15103888,15788,137709,42223,195720,113800,
24.8560258490566,2067,ssp585,Subtropical,Narrowbody,7693437,93769,99409,56367,249545,59975,
48.9020751886792,2067,ssp585,Subtropical,Widebody,15136167,14961,138572,42248,195781,113739,
24.4507069339623,2068,ssp126,Subtropical,Narrowbody,7588717,95646,99101,56105,250852,59516,
47.9290541509434,2068,ssp126,Subtropical,Widebody,14875644,16925,137977,43295,198197,112171,
24.6933696226415,2068,ssp245,Subtropical,Narrowbody,7664032,94373,99871,56406,250650,59718,
48.6871051415094,2068,ssp245,Subtropical,Widebody,15110922,16343,137800,42146,196289,114079,
24.7694966037736,2068,ssp370,Subtropical,Narrowbody,7687660,94438,99504,56156,250098,60270,
48.6769713207547,2068,ssp370,Subtropical,Widebody,15107777,15687,138689,42088,196464,113904,
24.8381958018868,2068,ssp585,Subtropical,Narrowbody,7708981,93903,100108,56656,250667,59701,
48.9208587264151,2068,ssp585,Subtropical,Widebody,15183472,15353,138511,42240,196104,114264,
24.4641826415094,2069,ssp126,Subtropical,Narrowbody,7572154,95179,98956,56310,250445,59075,
48.0441114622641,2069,ssp126,Subtropical,Widebody,14870613,16108,138283,43256,197647,111873,
24.7292063679245,2069,ssp245,Subtropical,Narrowbody,7654184,94203,99488,55929,249620,59900,
48.4978504716981,2069,ssp245,Subtropical,Widebody,15011052,15804,138036,42282,196122,113398,
24.7327487735849,2069,ssp370,Subtropical,Narrowbody,7655281,94126,99505,56564,250195,59325,
48.7257048113208,2069,ssp370,Subtropical,Widebody,15081578,16055,137424,42419,195898,113622,
24.6682482075472,2069,ssp585,Subtropical,Narrowbody,7635317,94380,99502,56159,250041,59479,
48.5223752830189,2069,ssp585,Subtropical,Widebody,15018643,15690,138362,42417,196469,113051,
24.5244485849057,2070,ssp126,Subtropical,Narrowbody,7590808,94912,99270,55987,250169,59351,
48.1338358018868,2070,ssp126,Subtropical,Widebody,14898382,15588,138814,42799,197201,112319,
24.6944227358491,2070,ssp245,Subtropical,Narrowbody,7643418,94199,99476,56251,249926,59594,
48.5958097169811,2070,ssp245,Subtropical,Widebody,15041373,16181,137638,42268,196087,113433,
24.8034614150943,2070,ssp370,Subtropical,Narrowbody,7677167,93750,99656,56402,249808,59712,
48.8186324528302,2070,ssp370,Subtropical,Widebody,15110345,15541,137844,42269,195654,113866,
24.7887202358491,2070,ssp585,Subtropical,Narrowbody,7672605,93646,99864,56326,249836,59684,
48.9038948113208,2070,ssp585,Subtropical,Widebody,15136734,14933,138571,42311,195815,113705,
24.5184066981132,2071,ssp126,Subtropical,Narrowbody,7588937,95060,98921,55971,249952,59568,
48.1578618867924,2071,ssp126,Subtropical,Widebody,14905822,16466,137819,42588,196873,112647,
24.6703996698113,2071,ssp245,Subtropical,Narrowbody,7635982,94037,99485,56664,250186,59334,
48.6558800943396,2071,ssp245,Subtropical,Widebody,15059971,16102,137065,42679,195846,113674,
24.8752548584906,2071,ssp370,Subtropical,Narrowbody,7699389,93876,99393,56307,249576,59944,
48.8389158490566,2071,ssp370,Subtropical,Widebody,15116621,15041,138351,42616,196008,113512,
24.904130754717,2071,ssp585,Subtropical,Narrowbody,7708327,93397,99763,56334,249494,60026,
49.0266292924528,2071,ssp585,Subtropical,Widebody,15174728,14952,138253,41936,195141,114379,
24.4899363679245,2072,ssp126,Subtropical,Narrowbody,7600893,95277,99343,56225,250845,59523,
48.0558841509434,2072,ssp126,Subtropical,Widebody,14915008,16490,138368,42949,197807,112561,
24.7025888679245,2072,ssp245,Subtropical,Narrowbody,7666893,94691,99234,56334,250259,60109,
48.5713928301887,2072,ssp245,Subtropical,Widebody,15075009,16476,137432,42544,196452,113916,
24.768835754717,2072,ssp370,Subtropical,Narrowbody,7687454,93969,99930,56880,250779,59589,
48.8411040566038,2072,ssp370,Subtropical,Widebody,15158718,15086,138734,42497,196317,114051,
24.8526309433962,2072,ssp585,Subtropical,Narrowbody,7713461,94278,99361,56571,250210,60158,
48.863720990566,2072,ssp585,Subtropical,Widebody,15165733,15715,138227,42160,196102,114266,
24.5049894339623,2073,ssp126,Subtropical,Narrowbody,7584785,95197,98936,55882,250015,59505,
48.1141043396227,2073,ssp126,Subtropical,Widebody,14892279,16269,138169,42898,197336,112184,
24.6301313207547,2073,ssp245,Subtropical,Narrowbody,7623518,94633,98989,56652,250274,59246,
48.426514764151,2073,ssp245,Subtropical,Widebody,14988973,15946,137872,43012,196830,112690,
24.7638483490566,2073,ssp370,Subtropical,Narrowbody,7664906,93985,99354,56676,250015,59505,
48.724954009434,2073,ssp370,Subtropical,Widebody,15081351,14910,138709,42619,196238,113282,
24.8862433962264,2073,ssp585,Subtropical,Narrowbody,7702790,93559,99394,56463,249416,60104,
48.9982122641509,2073,ssp585,Subtropical,Widebody,15165923,15617,137395,42170,195182,114338,
