year,exp,type,todr_avg,todr_avg_loess
2045,ssp126,Widebody,3342.46,3342.71685069071
2045,ssp245,Narrowbody,2934.02,2933.29296413224
2045,ssp245,Widebody,3343.605,3342.57278309879
2045,ssp370,Narrowbody,2933.335,2934.84442522894
2045,ssp370,Widebody,3343.275,3343.66118059298
2045,ssp585,Narrowbody,2934.44,2935.15357820109
2045,ssp585,Widebody,3343.925,3343.96922429703
2046,ssp126,Narrowbody,2936.49,2933.34524572498
2046,ssp126,Widebody,3344.505,3342.76383043591
2046,ssp245,Narrowbody,2934.495,2933.38897998255
2046,ssp245,Widebody,3342.94,3342.64229520495
2046,ssp370,Narrowbody,2936.1,2935.0208254145
2046,ssp370,Widebody,3344.37,3343.78470514354
2046,ssp585,Narrowbody,2931.18,2935.37411048293
2046,ssp585,Widebody,3342.21,3344.12866337513
2047,ssp126,Narrowbody,2933.45,2933.39848618899
2047,ssp126,Widebody,3342.085,3342.80374537244
2047,ssp245,Narrowbody,2935.855,2933.48833115042
2047,ssp245,Widebody,3343.63,3342.71188703739
2047,ssp370,Narrowbody,2934.26,2935.19615745834
2047,ssp370,Widebody,3343.505,3343.90833804292
2047,ssp585,Narrowbody,2935.22,2935.59232404424
2047,ssp585,Widebody,3344.115,3344.28331624596
2048,ssp126,Narrowbody,2932.11,2933.45189206891
2048,ssp126,Widebody,3343.79,3342.83831694542
2048,ssp245,Narrowbody,2932.715,2933.59493519229
2048,ssp245,Widebody,3341.48,3342.78447100954
2048,ssp370,Narrowbody,2931.97,2935.37251132368
2048,ssp370,Widebody,3342.74,3344.03396359315
2048,ssp585,Narrowbody,2935.82,2935.81387926611
2048,ssp585,Widebody,3343.845,3344.43578139383
2049,ssp126,Narrowbody,2933.445,2933.50860716878
2049,ssp126,Widebody,3343.27,3342.86978783713
2049,ssp245,Narrowbody,2932.82,2933.711095147
2049,ssp245,Widebody,3342.015,3342.86232685222
2049,ssp370,Narrowbody,2936.35,2935.55233272681
