year,exp,zone,type,avg_thr,avg_pax,avg_thr_loess,avg_pax_loess,avg_thr_per,avg_pax_per
2024,ssp370,Global,Widebody,0.91520144904854,15.0506529741448,0.915757862979969,15.190344260101,0.000268575357033224,0.0062220855290766
2025,ssp370,Global,Widebody,0.915376859084841,14.8337857225407,0.915787612053433,15.201203616939,0.000301069823677322,0.00694141910690094
2026,ssp370,Global,Widebody,0.915383414947413,15.0864160868718,0.915817950245703,15.2121701619792,0.000334207775953885,0.00766785292778943
2027,ssp370,Global,Widebody,0.915924897294964,15.2656772731007,0.915848850773413,15.2232216357668,0.000367959958796377,0.00839991250539471
2028,ssp370,Global,Widebody,0.915431706662708,15.0313111220084,0.915880257479497,15.2343416134867,0.000402265032682268,0.00913650984517112
2029,ssp370,Global,Widebody,0.916033989533965,15.3349170154675,0.915912114206886,15.2455136703236,0.000437061658087939,0.00987655695257242
2030,ssp370,Global,Widebody,0.915640568938492,15.01645608311,0.915944364798511,15.2567213814626,0.000472288495490255,0.0106189658330531
2031,ssp370,Global,Widebody,0.915997772010047,15.3079608260668,0.915976953097304,15.2679483220885,0.000507884205366928,0.0113626484920674
2032,ssp370,Global,Widebody,0.915638221673541,15.0247537067594,0.916009822946198,15.2791780673862,0.000543787448193855,0.0121065169350691
2033,ssp370,Global,Widebody,0.91696656760543,15.5468083911852,0.916042918188124,15.2903941925406,0.000579936884448385,0.0128494831675127
2034,ssp370,Global,Widebody,0.915959132289919,15.3149770255403,0.916076182666014,15.3015802727367,0.000616271174607746,0.0135904591948524
2035,ssp370,Global,Widebody,0.916197783140855,15.2733316618634,0.9161095602228,15.3127198831592,0.000652728979148197,0.0143283570225422
2036,ssp370,Global,Widebody,0.916329459358733,15.4555589187749,0.916142994701413,15.3237965989932,0.000689248958547088,0.0150620886560366
2037,ssp370,Global,Widebody,0.916272246031593,15.3343614014556,0.916177800295745,15.3352073248509,0.000727266587075452,0.015817945414337
2038,ssp370,Global,Widebody,0.91604599184904,15.1686242946363,0.916214985213872,15.3472606895353,0.000767883115290129,0.016616371147333
2039,ssp370,Global,Widebody,0.916272324941218,15.3686704323011,0.916254034320005,15.3598078545174,0.000810535868097174,0.0174475066568111
2040,ssp370,Global,Widebody,0.916973569015645,15.6383655030932,0.916294432478355,15.3726999812683,0.000854662170401674,0.0183014927445568
2041,ssp370,Global,Widebody,0.916093360634119,15.3565916813365,0.916335664553132,15.385788231259,0.000899699347109322,0.0191684702123563
2042,ssp370,Global,Widebody,0.916516915173215,15.3996590362616,0.916377215408548,15.3989237659607,0.000945084723126052,0.0200385798619961
2043,ssp370,Global,Widebody,0.916158983006706,15.287111132016,0.916418569908813,15.4119577468444,0.00099025562335671,0.0209019624952617
2044,ssp370,Global,Widebody,0.916479528008905,15.4145390083432,0.916459212918137,15.4247413353811,0.00103464937270747,0.0217487589139396
2045,ssp370,Global,Widebody,0.916099232415568,15.4483791086495,0.916498629300732,15.4371256930418,0.00107770329608391,0.0225691099198157
2046,ssp370,Global,Widebody,0.916678230477029,15.6790705582967,0.916536303920808,15.4489619812978,0.00111885471839123,0.0233531563146759
2047,ssp370,Global,Widebody,0.916446363800655,15.3594084865241,0.916571721642577,15.4601013616199,0.00115754096453537,0.0240910389003066
2048,ssp370,Global,Widebody,0.915961666381321,15.4373159569591,0.91660453532288,15.4705670605511,0.00119338285525348,0.0247842962238218
2049,ssp370,Global,Widebody,0.916510456018904,15.5517406587658,0.916635055732529,15.4805210090397,0.00122671984083979,0.025443654737097
2050,ssp370,Global,Widebody,0.917229761253082,15.6349716704905,0.916663754606685,15.4900224251654,0.00125806719053425,0.0260730370990603
2051,ssp370,Global,Widebody,0.917451615478203,15.7875395305349,0.916691103680511,15.4991305270077,0.0012879401735785,0.0266763659686406
2052,ssp370,Global,Widebody,0.916782733443671,15.5524989721761,0.916717574689169,15.5079045326462,0.00131685405921251,0.0272575640047656
2053,ssp370,Global,Widebody,0.916644458416889,15.2805892867984,0.916743639367821,15.5164036601606,0.0013453241166772,0.0278205538663641
2054,ssp370,Global,Widebody,0.916423959666351,15.3040473092182,0.91676976945163,15.5246871276302,0.00137386561521301,0.0283692582123642
2055,ssp370,Global,Widebody,0.916947313470012,15.5579293985866,0.916796436675758,15.5328141531349,0.00140299382406109,0.0289075997016944
2056,ssp370,Global,Widebody,0.916691452713411,15.3930660104869,0.916824112775367,15.540843954754,0.00143322401246154,0.0294395009932829
2057,ssp370,Global,Widebody,0.916588326627543,15.5028994190455,0.916853269485619,15.5488357505673,0.00146507144965539,0.0299688847460582
2058,ssp370,Global,Widebody,0.917468310344231,15.735222494709,0.916883223553776,15.5565095620505,0.00149778982892692,0.0304772049304054
2059,ssp370,Global,Widebody,0.916851622040192,15.457083708046,0.916912995073305,15.56361056758,0.00153030881307024,0.0309475819324591
2060,ssp370,Global,Widebody,0.916505098750099,15.4943929566677,0.916942610798674,15.5702357205861,0.00156265762559018,0.0313864380347711
2061,ssp370,Global,Widebody,0.917202069030139,15.6499635032857,0.916972097484352,15.5764819744992,0.001594865489991,0.0318001955198928
2062,ssp370,Global,Widebody,0.916894974101312,15.3734729397199,0.917001481884807,15.5824462827497,0.00162696162977728,0.0321952766703761
2063,ssp370,Global,Widebody,0.916996204764393,15.4715906374328,0.917030790754507,15.5882255987679,0.00165897526845399,0.032578103768773
2064,ssp370,Global,Widebody,0.916371833428429,15.3441202174976,0.917060050847922,15.5939168759841,0.00169093562952524,0.0329550990976349
2065,ssp370,Global,Widebody,0.917671931769909,15.9663006334265,0.917089288919519,15.5996170678288,0.00172287193649599,0.0333326849395137
2066,ssp370,Global,Widebody,0.916851236400676,15.6637314373235,0.917118531723768,15.6054231277323,0.00175481341287073,0.033717283576961
2067,ssp370,Global,Widebody,0.917757943233244,15.9045737493035,0.917147806015137,15.6114320091249,0.00178678928215393,0.0341153172925287
2068,ssp370,Global,Widebody,0.917273039827146,15.670174511193,0.917177138548094,15.6177406654371,0.00181882876785043,0.0345332083687687
2069,ssp370,Global,Widebody,0.916760221284541,15.6479708332647,0.917205953273009,15.6240046858083,0.00185030265959152,0.0349481427200749
2070,ssp370,Global,Widebody,0.916979953673988,15.5843278337795,0.917233864093203,15.6298995897425,0.00188078922976597,0.0353386264661368
2071,ssp370,Global,Widebody,0.917203895249148,15.4976692565187,0.917261182692569,15.6355522262168,0.00191062892601395,0.0357130621974489
