year,exp,type,zone,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max,tko_ok,tko_ko,tko,tko_ok_thr_min_per,tko_ok_thr_mid_per,tko_ok_thr_max_per,tko_ok_per,tko_ko_per,tko_per,tko_ok_thr_min_per_loess,tko_ko_per_loess
2076,ssp585,Widebody,Temperate,25843,572286,478262,1076391,419817,1496208,0.0172723311197374,0.382490937088961,0.319649407034316,0.719412675243014,0.280587324756986,1,0.0168257738385504,0.282124040330995
2077,ssp126,Narrowbody,Temperate,556252,509966,187430,1253648,238472,1492120,0.372793072943195,0.341772779669196,0.125613221456719,0.84017907406911,0.15982092593089,1,0.370594357225387,0.160447295313621
2077,ssp126,Widebody,Temperate,29948,567636,483711,1081295,410825,1492120,0.0200707717877919,0.380422486127121,0.324177009891966,0.724670267806879,0.275329732193121,1,0.0182598568652043,0.276513557730831
2077,ssp245,Narrowbody,Temperate,548248,517391,183889,1249528,242592,1492120,0.367428893118516,0.346748920998311,0.123240087928585,0.837417902045412,0.162582097954588,1,0.368347921924864,0.16177261915081
2077,ssp245,Widebody,Temperate,25253,573608,476184,1075045,417075,1492120,0.0169242420180683,0.384424845186714,0.319132509449642,0.720481596654425,0.279518403345575,1,0.0176310031377554,0.278674500717747
2077,ssp370,Narrowbody,Temperate,548896,515198,186107,1250201,241919,1492120,0.367863174543602,0.345279200064338,0.124726563547168,0.837868938155108,0.162131061844892,1,0.365231820958729,0.163379459868969
2077,ssp370,Widebody,Temperate,25866,571947,477376,1075189,416931,1492120,0.017335066884701,0.383311663941238,0.319931372811838,0.720578103637777,0.279421896362223,1,0.016559733581206,0.281334274862565
2077,ssp585,Narrowbody,Temperate,546838,517427,184429,1248694,243426,1492120,0.366483928906522,0.346773047744149,0.123601989116157,0.836858965766828,0.163141034233172,1,0.364457382386229,0.164004312166468
2077,ssp585,Widebody,Temperate,26646,568663,476976,1072285,419835,1492120,0.0178578130445273,0.381110768570892,0.319663297858081,0.718631879473501,0.281368120526499,1,0.0167803211549677,0.282307910639626
2078,ssp126,Narrowbody,Temperate,555379,511499,186450,1253328,238792,1492120,0.37220799935662,0.342800176929469,0.124956437820015,0.839964614106104,0.160035385893896,1,0.370591268177904,0.160448391617409
2078,ssp126,Widebody,Temperate,28023,570444,482535,1081002,411118,1492120,0.018780661072836,0.382304372302496,0.32338886952792,0.724473902903252,0.275526097096748,1,0.0182619449320635,0.276517981096839
2078,ssp245,Narrowbody,Temperate,549964,516034,185000,1250998,241122,1492120,0.368578934670134,0.34583947671769,0.123984666112645,0.838403077500469,0.161596922499531,1,0.368286200012039,0.161801063825354
2078,ssp245,Widebody,Temperate,26393,571446,478892,1076731,415389,1492120,0.0176882556362759,0.382975900061657,0.320947376886577,0.721611532584511,0.278388467415489,1,0.0176177589357542,0.278732984989403
2078,ssp370,Narrowbody,Temperate,544477,519251,183878,1247606,244514,1492120,0.364901616491971,0.347995469533282,0.123232715867357,0.836129801892609,0.163870198107391,1,0.365095469523364,0.163439719205363
2078,ssp370,Widebody,Temperate,24459,571740,475310,1071509,420611,1492120,0.0163921132348605,0.383172935152669,0.318546765675683,0.718111814063212,0.281888185936788,1,0.016520720115618,0.281446871858611
2078,ssp585,Narrowbody,Temperate,545238,517422,184379,1247039,245081,1492120,0.365411629091494,0.346769696807227,0.123568479746937,0.835749805645659,0.164250194354341,1,0.364244770580728,0.164120945394288
2078,ssp585,Widebody,Temperate,26048,569966,475448,1071462,420658,1492120,0.0174570409886604,0.381984022732756,0.318639251534729,0.718080315256146,0.281919684743854,1,0.0167266616604679,0.282502403507416
2079,ssp126,Narrowbody,Temperate,553415,513583,185625,1252623,239497,1492120,0.370891751333673,0.344196847438544,0.124403533227891,0.839492132000107,0.160507867999893,1,0.37059211123816,0.16045002595378
