year,exp,zone,type,itr_sum,tko_ok_thr_min,tko_ok_thr_mid,tko_ok_thr_max, tko_ok , tko_ko , tko ,itr_avg,tko_ok_thr_min_rel,tko_ok_thr_mid_rel,tko_ok_thr_max_rel,tko_ok_rel,tko_ko_rel,tko_rel,tko_ok_thr_min_rel_loess,tko_ko_rel_loess,rel_total,rel_success
2023,ssp585,Temperate,Narrowbody,30204945,509162,429198,341363," 1,279,723 "," 212,397 "," 1,492,120 ",20.24297271,0.341233949,0.287643085,0.228777176,0.85765421,0.14234579,1,0.34127664,0.142300709,0.341233949,0.397868914
2023,ssp585,Temperate,Widebody,62136287,73242,655304,325560," 1,054,106 "," 438,014 "," 1,492,120 ",41.64295689,0.049085864,0.439176474,0.218186205,0.706448543,0.293551457,1,0.04945564,0.293296773,0.049085864,0.069482576
2024,ssp126,Temperate,Narrowbody,30421291,508372,431463,343213," 1,283,048 "," 213,160 "," 1,496,208 ",20.33226078,0.339773614,0.288371002,0.229388561,0.857533177,0.142466823,1,0.341323363,0.142197436,0.339773614,0.396222121
2024,ssp126,Temperate,Widebody,62668495,72102,657377,325027," 1,054,506 "," 441,702 "," 1,496,208 ",41.88488123,0.048189824,0.439362041,0.217233834,0.704785698,0.295214302,1,0.049838555,0.293352401,0.048189824,0.068375144
2024,ssp245,Temperate,Narrowbody,30264732,509731,430441,344062," 1,284,234 "," 211,974 "," 1,496,208 ",20.22762322,0.340681911,0.287687942,0.229955995,0.858325848,0.141674152,1,0.341384184,0.142204499,0.340681911,0.396914425
2024,ssp245,Temperate,Widebody,62370284,72975,657387,326824," 1,057,186 "," 439,022 "," 1,496,208 ",41.68557238,0.048773299,0.439368724,0.21843487,0.706576893,0.293423107,1,0.049692129,0.293224705,0.048773299,0.069027588
2024,ssp370,Temperate,Narrowbody,30237595,510392,429601,343743," 1,283,736 "," 212,472 "," 1,496,208 ",20.20948533,0.341123694,0.287126523,0.22974279,0.857993006,0.142006994,1,0.341182271,0.142350099,0.341123694,0.397583304
2024,ssp370,Temperate,Widebody,62241911,73589,656692,327453," 1,057,734 "," 438,474 "," 1,496,208 ",41.59976737,0.04918367,0.438904217,0.218855266,0.706943152,0.293056848,1,0.049648111,0.293492215,0.04918367,0.069572312
2024,ssp585,Temperate,Narrowbody,30131823,513412,427064,343157," 1,283,633 "," 212,575 "," 1,496,208 ",20.1387934,0.34314213,0.285430903,0.229351133,0.857924166,0.142075834,1,0.34124661,0.142326658,0.34314213,0.399967904
2024,ssp585,Temperate,Widebody,61870792,76156,655505,328891," 1,060,552 "," 435,656 "," 1,496,208 ",41.35173315,0.05089934,0.438110878,0.219816362,0.70882658,0.29117342,1,0.049415189,0.293345481,0.05089934,0.071807889
