year,exp,zone,type,avg_todr,avg_thr,avg_pax,avg_todr_loess,avg_thr_loess,avg_pax_loess,avg_todr_per,avg_thr_per,avg_pax_per
2039,ssp245,Subtropical,Narrowbody,2871.42424870466,0.866094953247669,9.92793433583467,2871.51478200955,0.866030379686074,9.87237512383587,0.000770533848848203,0.000760933126023798,0.0165196172370941
2040,ssp245,Subtropical,Narrowbody,2866.89824742268,0.866478657043299,10.1615119037919,2871.56690448541,0.8660450459499,9.87374791111371,0.000788699396285702,0.000777881057893286,0.0166609677409709
2041,ssp245,Subtropical,Narrowbody,2871.1618134715,0.865794580968394,9.84745961890299,2871.6152498427,0.866058783021759,9.87471709450719,0.000805548555245995,0.000793755241034327,0.0167607607411171
2042,ssp245,Subtropical,Narrowbody,2868.23269430052,0.865637323103626,9.81181925186111,2871.66198331154,0.86607169078694,9.87536022392175,0.00082183594434682,0.000808671100141878,0.0168269812461249
2043,ssp245,Subtropical,Narrowbody,2871.66051813471,0.866207329853886,9.9361013715681,2871.70927012207,0.866083869130726,9.87575484926282,0.000838316182205279,0.000822744059909998,0.0168676142645847
2044,ssp245,Subtropical,Narrowbody,2870.51481865285,0.865659693649223,9.83969784503603,2871.75927550443,0.866095417938404,9.8759785204358,0.00085574388743911,0.000836089545033258,0.0168906448050876
2045,ssp245,Subtropical,Narrowbody,2874.10689119171,0.866159923272021,9.77157269936276,2871.81416468874,0.86610643709526,9.87610878734614,0.000874873678665733,0.000848822980206359,0.0169040578762252
2046,ssp245,Subtropical,Narrowbody,2872.82813471503,0.866094897442487,9.86377975022333,2871.87610290513,0.86611702648658,9.87622319989925,0.00089646017450241,0.000861059790123359,0.0169158384865883
2047,ssp245,Subtropical,Narrowbody,2872.14968911917,0.866142438093265,9.82439940736108,2871.94725538375,0.86612728599765,9.87639930800055,0.000921257993567196,0.000872915399479215,0.0169339716447682
2048,ssp245,Subtropical,Narrowbody,2871.75740932643,0.866157839627461,9.87794474232625,2872.03096840648,0.866136083337726,9.87601526893065,0.00095043337060966,0.000883081364172539,0.0168944286529915
2049,ssp245,Subtropical,Narrowbody,2873.31756476684,0.865907802518135,9.79493058084688,2872.12726104154,0.866142535207153,9.87457040040351,0.000983992951218996,0.000890536967371028,0.0167456562265246
2050,ssp245,Subtropical,Narrowbody,2874.71196891192,0.866353269323834,9.92447670758144,2872.23330769854,0.866147114977852,9.87232399297461,0.00102095197027079,0.000895829224669868,0.0165143524935178
2051,ssp245,Subtropical,Narrowbody,2868.6856185567,0.867186756051546,10.2083662241379,2872.34628278707,0.866150296021743,9.86953533719942,0.00106032566264189,0.000899505151666809,0.0162272155821221
2052,ssp245,Subtropical,Narrowbody,2868.95911917098,0.865681103962176,9.80318188025728,2872.46336071675,0.866152551710746,9.86646372363343,0.00110112926320758,0.000902111763957551,0.0159109436204878
2053,ssp245,Subtropical,Narrowbody,2872.17440414508,0.866076238180311,9.79117216246799,2872.58171589717,0.866154355416783,9.86336844283211,0.00114237800684486,0.00090419607713869,0.0155922347367658
2054,ssp245,Subtropical,Narrowbody,2875.84692708333,0.865407677906771,9.63721287170738,2872.69852273794,0.866156180511771,9.86050878535093,0.00118308712842885,0.000906305106806567,0.0152977870591064
2055,ssp245,Subtropical,Narrowbody,2868.9206185567,0.86660129835567,10.1956900827112,2872.81095564865,0.866158500367633,9.85814404174538,0.00122227186283608,0.000908985868557907,0.0150542987156604
2056,ssp245,Subtropical,Narrowbody,2872.55466321243,0.86612784933057,9.86855067530225,2872.91618903892,0.866161788356289,9.85653350257092,0.00125894744494262,0.000912785377988921,0.0148884678345783
2057,ssp245,Subtropical,Narrowbody,2878.4928125,0.865823737799479,9.62429747533525,2873.01139731834,0.866166517849659,9.85593645838305,0.00129212910962437,0.000918250650696078,0.0148269925440109
2058,ssp245,Subtropical,Narrowbody,2877.26609375,0.865652519369219,9.49811679076868,2873.10036835397,0.866172200513175,9.85624321332772,0.00132313699137917,0.000924817380658896,0.0148585778935368
2059,ssp245,Subtropical,Narrowbody,2872.16056994819,0.866404940895855,9.78875281585373,2873.18876518812,0.866178009950615,9.85710135340505,0.00135394475439514,0.000931530607087956,0.0149469372003906
2060,ssp245,Subtropical,Narrowbody,2871.89974226804,0.866824478824742,10.129437942588,2873.27657499332,0.866183912441415,9.85840609195179,0.00138454792808523,0.000938351363426573,0.0150812809942084
2061,ssp245,Subtropical,Narrowbody,2871.66917098446,0.865902045846632,9.90143593043892,2873.36378494209,0.866189874265014,9.86005264230468,0.00141494204186159,0.000945240683117421,0.0152508198046245
2062,ssp245,Subtropical,Narrowbody,2879.21666666667,0.865731480214584,9.51900140948276,2873.45038220697,0.866195861700847,9.86193621780045,0.00144512262513637,0.000952159599603434,0.0154447641612744
2063,ssp245,Subtropical,Narrowbody,2868.36381443299,0.866743111798969,9.92936182770471,2873.53635396048,0.866201841028352,9.86395203177585,0.00147508520732221,0.000959069146327799,0.0156523245937933
