zone,exp,year,avg_min_rho,loess_avg_min_rho
Frigid,ssp245,2031,-0.00608000000000009,9.43569284769051e-05
Frigid,ssp245,2032,-0.00106499999999987,6.340002918393e-05
Frigid,ssp245,2033,0.001525,2.47229434753404e-05
Frigid,ssp245,2034,-0.00544999999999996,-2.1762708745956e-05
Frigid,ssp245,2035,0.00789499999999999,-7.6145307577051e-05
Frigid,ssp245,2036,-0.00586500000000001,-0.000138513233115037
Frigid,ssp245,2037,-0.000234999999999985,-0.000207381118726148
Frigid,ssp245,2038,0.00991500000000012,-0.000281638952401061
Frigid,ssp245,2039,0.00290499999999994,-0.000361938146173528
Frigid,ssp245,2040,-0.00405499999999992,-0.000448930112077303
Frigid,ssp245,2041,-0.00101499999999999,-0.000543266262146141
Frigid,ssp245,2042,-0.0102499999999999,-0.000645598008413796
Frigid,ssp245,2043,-0.000375000000000014,-0.000756576762914021
Frigid,ssp245,2044,-0.000699999999999923,-0.000876853937680571
Frigid,ssp245,2045,0.00888500000000003,-0.0010070809447472
Frigid,ssp245,2046,0.000520000000000076,-0.00114790919614766
Frigid,ssp245,2047,-0.00884499999999999,-0.0012999901039157
Frigid,ssp245,2048,-0.00597999999999987,-0.00147923715518596
Frigid,ssp245,2049,0.00192999999999999,-0.00169535050604512
Frigid,ssp245,2050,0.0058149999999999,-0.00193966157195499
Frigid,ssp245,2051,-0.00400999999999985,-0.00220350176837742
Frigid,ssp245,2052,-0.00892499999999985,-0.00247820251077423
Frigid,ssp245,2053,-0.00846999999999998,-0.00275509521460725
Frigid,ssp245,2054,0.000829999999999886,-0.00302551129533831
Frigid,ssp245,2055,-0.000930000000000097,-0.00328078216842924
Frigid,ssp245,2056,-0.00341499999999995,-0.00351223924934187
Frigid,ssp245,2057,-0.00990000000000002,-0.00371121395353803
Frigid,ssp245,2058,0.00475500000000007,-0.00388434207709653
Frigid,ssp245,2059,-0.00428500000000009,-0.00404574280794799
Frigid,ssp245,2060,0.00339500000000004,-0.00419797264933199
Frigid,ssp245,2061,-0.011725,-0.00434358810448807
Frigid,ssp245,2062,-0.00127499999999992,-0.0044851456766558
Frigid,ssp245,2063,0.00741999999999998,-0.00462520186907473
Frigid,ssp245,2064,-0.00992499999999996,-0.00476631318498442
Frigid,ssp245,2065,-0.016705,-0.00491103612762442
Frigid,ssp245,2066,-0.00461,-0.0050619272002343
Frigid,ssp245,2067,-0.0150349999999999,-0.0052215429060536
Frigid,ssp245,2068,0.000394999999999923,-0.0053924397483219
Frigid,ssp245,2069,-0.000359999999999916,-0.005581390904977
Frigid,ssp245,2070,-0.00878000000000001,-0.00578959094835641
Frigid,ssp245,2071,-0.0124850000000001,-0.00601122847329921
Frigid,ssp245,2072,-0.0145549999999999,-0.00624049207464452
Frigid,ssp245,2073,-0.0114799999999999,-0.00647157034723142
Frigid,ssp245,2074,-0.00625999999999993,-0.00669865188589901
Frigid,ssp245,2075,0.0172099999999999,-0.00691592528548639
