year,exp,type,zone,vlof_avg,vlof_avg_loess
2024,ssp585,Widebody,Temperate,89.643,89.6676955142695
2025,ssp126,Narrowbody,Temperate,83.1527,83.145146651495
2025,ssp126,Widebody,Temperate,89.6698,89.6630120637041
2025,ssp245,Narrowbody,Temperate,83.10065,83.1454163203855
2025,ssp245,Widebody,Temperate,89.62545,89.6635148954147
2025,ssp370,Narrowbody,Temperate,83.17005,83.1580650534838
2025,ssp370,Widebody,Temperate,89.695,89.6766546422614
2025,ssp585,Narrowbody,Temperate,83.1437,83.1515319191154
2025,ssp585,Widebody,Temperate,89.6619,89.6701117162753
2026,ssp126,Narrowbody,Temperate,83.1457,83.1474794995416
2026,ssp126,Widebody,Temperate,89.6633,89.6654032283555
2026,ssp245,Narrowbody,Temperate,83.11,83.1472495031235
2026,ssp245,Widebody,Temperate,89.62405,89.6655360155222
2026,ssp370,Narrowbody,Temperate,83.1388,83.1599236963941
2026,ssp370,Widebody,Temperate,89.65655,89.678474308007
2026,ssp585,Narrowbody,Temperate,83.1375,83.1540749203721
2026,ssp585,Widebody,Temperate,89.6559,89.6727313241255
2027,ssp126,Narrowbody,Temperate,83.22,83.149750052299
2027,ssp126,Widebody,Temperate,89.7343,89.6677288295716
2027,ssp245,Narrowbody,Temperate,83.1088,83.1491227578307
2027,ssp245,Widebody,Temperate,89.6258,89.6675878837762
2027,ssp370,Narrowbody,Temperate,83.1721,83.1619819142917
2027,ssp370,Widebody,Temperate,89.6975,89.6804969406093
2027,ssp585,Narrowbody,Temperate,83.12985,83.1568331212687
2027,ssp585,Widebody,Temperate,89.6484,89.6755549092857
2028,ssp126,Narrowbody,Temperate,83.2075,83.1519610746885
2028,ssp126,Widebody,Temperate,89.72825,89.6699917911693
2028,ssp245,Narrowbody,Temperate,83.12265,83.1510378206656
2028,ssp245,Widebody,Temperate,89.643,89.669672142881
2028,ssp370,Narrowbody,Temperate,83.1105,83.1642305508968
2028,ssp370,Widebody,Temperate,89.62985,89.6827127676792
2028,ssp585,Narrowbody,Temperate,83.1456,83.15979815913
2028,ssp585,Widebody,Temperate,89.66365,89.6785747093965
2029,ssp126,Narrowbody,Temperate,83.1188,83.1541153316311
2029,ssp126,Widebody,Temperate,89.6383,89.6721950369652
2029,ssp245,Narrowbody,Temperate,83.1841,83.1529964277864
2029,ssp245,Widebody,Temperate,89.69705,89.6717904355409
2029,ssp370,Narrowbody,Temperate,83.1745,83.1666604499296
2029,ssp370,Widebody,Temperate,89.6933,89.6851120168276
2029,ssp585,Narrowbody,Temperate,83.15075,83.1629616712806
2029,ssp585,Widebody,Temperate,89.6709,89.6817829620984
2030,ssp126,Narrowbody,Temperate,83.0952,83.1562155880478
2030,ssp126,Widebody,Temperate,89.61535,89.6743414907762
2030,ssp245,Narrowbody,Temperate,83.16555,83.1550003153513
2030,ssp245,Widebody,Temperate,89.68315,89.6739444044605
2030,ssp370,Narrowbody,Temperate,83.20445,83.1692624551104
2030,ssp370,Widebody,Temperate,89.72675,89.6876849156651
2030,ssp585,Narrowbody,Temperate,83.19895,83.1663152950452
2030,ssp585,Widebody,Temperate,89.7244,89.6851719050318
2031,ssp126,Narrowbody,Temperate,83.15785,83.1582646088599
2031,ssp126,Widebody,Temperate,89.67945,89.6764340764191
2031,ssp245,Narrowbody,Temperate,83.13805,83.1570512195187
2031,ssp245,Widebody,Temperate,89.6543,89.6761356923441
2031,ssp370,Narrowbody,Temperate,83.11315,83.1720274101596
2031,ssp370,Widebody,Temperate,89.62525,89.6904216918029
2031,ssp585,Narrowbody,Temperate,83.1528,83.1698506677485
2031,ssp585,Widebody,Temperate,89.68285,89.6887337758374
2032,ssp126,Narrowbody,Temperate,83.17,83.1602651589884
2032,ssp126,Widebody,Temperate,89.68465,89.6784757177107
2032,ssp245,Narrowbody,Temperate,83.19055,83.1591508764469
2032,ssp245,Widebody,Temperate,89.70885,89.6783659418962
2032,ssp370,Narrowbody,Temperate,83.12535,83.1749461587973
2032,ssp370,Widebody,Temperate,89.6406,89.6933125728517
2032,ssp585,Narrowbody,Temperate,83.1294,83.1735594267152
2032,ssp585,Widebody,Temperate,89.64555,89.6924608121555
2033,ssp126,Narrowbody,Temperate,83.15125,83.1622200033545
2033,ssp126,Widebody,Temperate,89.6709,89.6804693384679
2033,ssp245,Narrowbody,Temperate,83.19745,83.1613010222942
2033,ssp245,Widebody,Temperate,89.71355,89.6806367958211
2033,ssp370,Narrowbody,Temperate,83.2362,83.1780095447438
2033,ssp370,Widebody,Temperate,89.74275,89.6963477864223
2033,ssp585,Narrowbody,Temperate,83.1904,83.17743320927
2033,ssp585,Widebody,Temperate,89.7065,89.6963452516267
2034,ssp126,Narrowbody,Temperate,83.1107,83.1641319068791
2034,ssp126,Widebody,Temperate,89.6292,89.6824178625075
2034,ssp245,Narrowbody,Temperate,83.1802,83.163503393219
2034,ssp245,Widebody,Temperate,89.69735,89.6829498968233
2034,ssp370,Narrowbody,Temperate,83.1791,83.1812084117194
2034,ssp370,Widebody,Temperate,89.6957,89.6995175601257
2034,ssp585,Narrowbody,Temperate,83.20615,83.1814636527376
2034,ssp585,Widebody,Temperate,89.72295,89.7003793318915
2035,ssp126,Narrowbody,Temperate,83.1576,83.1660036344835
2035,ssp126,Widebody,Temperate,89.6847,89.6843242136462
2035,ssp245,Narrowbody,Temperate,83.1692,83.1657597253794
2035,ssp245,Widebody,Temperate,89.68815,89.6853068876071
2035,ssp370,Narrowbody,Temperate,83.22495,83.1845336034444
2035,ssp370,Widebody,Temperate,89.74685,89.7028121215726
2035,ssp585,Narrowbody,Temperate,83.24515,83.1856423944426
2035,ssp585,Widebody,Temperate,89.7652,89.7045552905904
2036,ssp126,Narrowbody,Temperate,83.12405,83.1678379510887
2036,ssp126,Widebody,Temperate,89.64085,89.6861913157008
2036,ssp245,Narrowbody,Temperate,83.12105,83.1680717549339
2036,ssp245,Widebody,Temperate,89.6448,89.6877094108771
2036,ssp370,Narrowbody,Temperate,83.17495,83.187975963639
2036,ssp370,Widebody,Temperate,89.6905,89.706221698374
2036,ssp585,Narrowbody,Temperate,83.1666,83.1899610717098
2036,ssp585,Widebody,Temperate,89.683,89.7088653653639
2037,ssp126,Narrowbody,Temperate,83.1404,83.1696124771239
2037,ssp126,Widebody,Temperate,89.65985,89.6879943203721
2037,ssp245,Narrowbody,Temperate,83.1831,83.1704539322584
2037,ssp245,Widebody,Temperate,89.70235,89.6901736221759
2037,ssp370,Narrowbody,Temperate,83.18105,83.1916862272074
2037,ssp370,Widebody,Temperate,89.69515,89.7099034970907
2037,ssp585,Narrowbody,Temperate,83.1734,83.1945583387903
2037,ssp585,Widebody,Temperate,89.6895,89.7134370933044
2038,ssp126,Narrowbody,Temperate,83.22295,83.17130880876
2038,ssp126,Widebody,Temperate,89.73915,89.6897129209385
2038,ssp245,Narrowbody,Temperate,83.15965,83.1729157984592
2038,ssp245,Widebody,Temperate,89.68005,89.6927104180724
2038,ssp370,Narrowbody,Temperate,83.1879,83.1957840618027
2038,ssp370,Widebody,Temperate,89.70735,89.7139827206921
2038,ssp585,Narrowbody,Temperate,83.2321,83.1995434638038
2038,ssp585,Widebody,Temperate,89.74995,89.7183710607531
2039,ssp126,Narrowbody,Temperate,83.21855,83.172935674531
2039,ssp126,Widebody,Temperate,89.74065,89.6913568535837
2039,ssp245,Narrowbody,Temperate,83.2011,83.1754517257898
2039,ssp245,Widebody,Temperate,89.72085,89.6953135528105
2039,ssp370,Narrowbody,Temperate,83.1926,83.2002137102685
2039,ssp370,Widebody,Temperate,89.7114,89.7184015914014
2039,ssp585,Narrowbody,Temperate,83.1691,83.2048640048779
2039,ssp585,Widebody,Temperate,89.69685,89.7236190792238
2040,ssp126,Narrowbody,Temperate,83.1833,83.1745018029709
2040,ssp126,Widebody,Temperate,89.69275,89.6929358544915
2040,ssp245,Narrowbody,Temperate,83.1957,83.1780560865037
2040,ssp245,Widebody,Temperate,89.7179,89.6979767806336
2040,ssp370,Narrowbody,Temperate,83.2388,83.2049194154484
2040,ssp370,Widebody,Temperate,89.7533,89.7231023314421
2040,ssp585,Narrowbody,Temperate,83.1543,83.2104675201402
2040,ssp585,Widebody,Temperate,89.6685,89.7291329602299
2041,ssp126,Narrowbody,Temperate,83.16535,83.1760159226135
2041,ssp126,Widebody,Temperate,89.67485,89.6944596598455
2041,ssp245,Narrowbody,Temperate,83.1557,83.1807232528545
2041,ssp245,Widebody,Temperate,89.6834,89.7006938557854
2041,ssp370,Narrowbody,Temperate,83.14965,83.209845420186
2041,ssp370,Widebody,Temperate,89.66875,89.7280271630376
2041,ssp585,Narrowbody,Temperate,83.2389,83.2163015677181
2041,ssp585,Widebody,Temperate,89.75105,89.7348645152851
2042,ssp126,Narrowbody,Temperate,83.22135,83.177486761993
2042,ssp126,Widebody,Temperate,89.74335,89.6959380058293
2042,ssp245,Narrowbody,Temperate,83.1399,83.1834475970957
2042,ssp245,Widebody,Temperate,89.66365,89.7034585325096
2042,ssp370,Narrowbody,Temperate,83.2147,83.2149359673249
2042,ssp370,Widebody,Temperate,89.72875,89.7331183084112
2042,ssp585,Narrowbody,Temperate,83.2445,83.2223137057393
2042,ssp585,Widebody,Temperate,89.7599,89.7407655559029
2043,ssp126,Narrowbody,Temperate,83.20845,83.1789230496433
