year,ssp,zone,avg_tas,avg_hurs,avg_ps,avg_rho,avg_hdw,max_tas,min_rho,avg_tas_loess,avg_hurs_loess,avg_ps_loess,avg_rho_loess,avg_hdw_loess,max_tas_loess,min_rho_loess
2021,ssp245,Global,17.4837832009081,71.3992758229285,970.638211123724,1.15759833144154,2.71193313019296,54.888,0.677758,17.2541215853167,71.4339118555972,970.428782363802,1.15835124246315,2.71779016482691,54.0543233887055,0.678155191340509
2021,ssp370,Global,17.0874528944381,71.4424821793417,970.328387060158,1.15891237003405,2.6802413906924,55.162,0.682696,17.2671125949312,71.6221677031479,970.352612427382,1.15817303363936,2.71309166023109,54.1380839707194,0.677303236958338
2021,ssp585,Global,17.1456413166856,71.8888263337118,970.269668558456,1.15859397956867,2.68848204267877,54.375,0.678757,17.228627982712,71.5222870388255,970.40900969368,1.15843879539954,2.71440748902365,54.1866743192045,0.677473813053748
2022,ssp126,Global,17.5835255391601,71.4081902383656,971.080816118048,1.1576726061294,2.70326826072645,53.43,0.673562,17.361516764504,71.2464701743807,970.440722510031,1.15790214016712,2.70098147148968,54.4346390031798,0.676746269758292
2022,ssp245,Global,17.5345266742338,71.7268618615211,970.601695800226,1.15720982519864,2.69090737525539,53.8130000000001,0.677019,17.277534284843,71.3930670733362,970.431651279777,1.15825521071954,2.71823729058858,54.1141759813108,0.678095267206704
2022,ssp370,Global,17.2683598183882,71.8411774120319,970.065586833143,1.15773730874007,2.7275580738933,54.649,0.685841,17.2835761372028,71.5992527155402,970.365071694815,1.15811785754716,2.71408907905743,54.1922296140756,0.677385731733626
2022,ssp585,Global,17.3941963677639,71.3347282633371,970.170415437005,1.15736967990919,2.70802295346198,54.393,0.677021,17.2511202254199,71.5026226735267,970.416923836262,1.15834864817744,2.71690758230314,54.1711640075151,0.677382321056984
2023,ssp126,Global,17.5139545970488,71.3207291713962,970.411810442678,1.15715722360954,2.66085026424517,54.898,0.676213,17.3766371894333,71.2401817931969,970.443245847419,1.1578414027412,2.69898179463865,54.436288323962,0.67683230538384
2023,ssp245,Global,17.3028263337117,71.1817684449489,970.541810442679,1.15828870261067,2.72963472406356,53.598,0.678282,17.3007467572758,71.3531926244549,970.434764645423,1.15816034423728,2.71871680341675,54.1718559625545,0.678033618045847
2023,ssp370,Global,17.3936742338252,71.5261198637911,970.222014755959,1.15747963791146,2.71320647196368,54.202,0.672797,17.3009614260004,71.5765915304719,970.377450869652,1.15805851483398,2.7150150113029,54.2466289520694,0.677457020736381
