"","iata","icao","name","lat","lon","zone"
"95","LIM","SPJC","Jorge Chávez International Airport",-12.0219,-77.114305,"Tropical"
"96","SCL","SCEL","Comodoro Arturo Merino Benítez International Airport",-33.39300156,-70.78579712,"Temperate"
"97","RUH","OERK","King Khaled International Airport",24.95759964,46.69879913,"Temperate"
"98","CSX","ZGHA","Changsha Huanghua International Airport",28.18919945,113.2200012,"Temperate"
"99","TAO","ZSQD","Qingdao Jiaodong International Airport",36.361953,120.088171,"Temperate"
"100","CUN","MMUN","Cancún International Airport",21.03650093,-86.87709808,"Tropical"
"101","BNE","YBBN","Brisbane International Airport",-27.38419914,153.1170044,"Temperate"
"102","HYD","VOHS","Rajiv Gandhi International Airport",17.231318,78.429855,"Tropical"
"103","IAD","KIAD","Washington Dulles International Airport",38.9445,-77.455803,"Temperate"
"104","DPS","WADD","Ngurah Rai (Bali) International Airport",-8.748169899,115.1669998,"Tropical"
"105","GMP","RKSS","Gimpo International Airport",37.5583,126.791,"Temperate"
"106","URC","ZWWW","Ürümqi Diwopu International Airport",43.90710068,87.47419739,"Temperate"
"107","HAK","ZJHK","Haikou Meilan International Airport",19.9349,110.459,"Tropical"
"108","MAA","VOMM","Chennai International Airport",12.990005,80.169296,"Tropical"
"109","AYT","LTAI","Antalya International Airport",36.898701,30.800501,"Temperate"
"110","CCU","VECC","Netaji Subhash Chandra Bose International Airport",22.65469933,88.44670105,"Tropical"
"111","DCA","KDCA","Ronald Reagan Washington National Airport",38.8521,-77.037697,"Temperate"
"112","TSN","ZBTJ","Tianjin Binhai International Airport",39.12440109,117.3460007,"Temperate"
"113","TLV","LLBG","Ben Gurion International Airport",32.01139832,34.88669968,"Temperate"
"114","CGH","SBSP","Congonhas Airport",-23.62611008,-46.65638733,"Temperate"
"115","FUK","RJFF","Fukuoka Airport",33.58589935,130.451004,"Temperate"
"116","TPA","KTPA","Tampa International Airport",27.97550011,-82.53320313,"Temperate"
"117","HEL","EFHK","Helsinki Vantaa Airport",60.3172,24.963301,"Temperate"
"118","CTS","RJCC","New Chitose Airport",42.7752,141.692001,"Temperate"
"119","JNB","FAOR","OR Tambo International Airport",-26.1392,28.246,"Temperate"
"120","KWE","ZUGY","Longdongbao Airport",26.53849983,106.8010025,"Temperate"
"121","AUH","OMAA","Abu Dhabi International Airport",24.443764,54.651718,"Temperate"
"122","AKL","NZAA","Auckland International Airport",-37.008099,174.792007,"Temperate"
"123","HNL","PHNL","Daniel K Inouye International Airport",21.32062,-157.924228,"Tropical"
"124","MDW","KMDW","Chicago Midway International Airport",41.785999,-87.752403,"Temperate"
"125","HRB","ZYHB","Taiping Airport",45.62340164,126.25,"Temperate"
"126","YUL","CYUL","Montreal / Pierre Elliott Trudeau International Airport",45.47060013,-73.74079895,"Temperate"
"127","OKA","ROAH","Naha Airport / JASDF Naha Air Base",26.195801,127.646004,"Temperate"
"128","DLC","ZYTL","Dalian Zhoushuizi International Airport",38.965698,121.539001,"Temperate"
"129","PDX","KPDX","Portland International Airport",45.58869934,-122.5979996,"Temperate"
"130","VKO","UUWW","Vnukovo International Airport",55.59149933,37.26150131,"Temperate"
"131","AGP","LEMG","Málaga Airport",36.67490005,-4.499110222,"Temperate"
"132","SHE","ZYTX","Shenyang Taoxian International Airport",41.639801,123.483002,"Temperate"
"133","SYX","ZJSY","Sanya Phoenix International Airport",18.3029,109.412003,"Tropical"
"134","SUB","WARR","Juanda International Airport",-7.379829884,112.7870026,"Tropical"
"135","GVA","LSGG","Geneva Cointrin International Airport",46.23809814,6.108950138,"Temperate"
"136","LTN","EGGW","London Luton Airport",51.87469864,-0.368333012,"Temperate"
"137","CAI","HECA","Cairo International Airport",30.12190056,31.40559959,"Temperate"
"138","WAW","EPWA","Warsaw Chopin Airport",52.16569901,20.96710014,"Temperate"
"139","BNA","KBNA","Nashville International Airport",36.12450027,-86.67819977,"Temperate"
"140","YYC","CYYC","Calgary International Airport",51.11389923,-114.0199966,"Temperate"
"141","HAM","EDDH","Hamburg Helmut Schmidt Airport",53.630402,9.98823,"Temperate"
"142","HKT","VTSP","Phuket International Airport",8.1132,98.316902,"Tropical"
"143","LED","ULLI","Pulkovo Airport",59.8003006,30.26250076,"Temperate"
"144","PUS","RKPK","Gimhae International Airport",35.17950058,128.9380035,"Temperate"
"145","PRG","LKPR","Václav Havel Airport Prague",50.1008,14.26,"Temperate"
"146","BSB","SBBR","Presidente Juscelino Kubitschek International Airport",-15.869167,-47.920834,"Tropical"
"147","PTY","MPTO","Tocumen International Airport",9.071359634,-79.38349915,"Tropical"
"148","AUS","KAUS","Austin Bergstrom International Airport",30.197535,-97.662015,"Temperate"
"149","DAL","KDAL","Dallas Love Field",32.847099,-96.851799,"Temperate"
"150","TNA","ZSJN","Yaoqiang Airport",36.85720062,117.2160034,"Temperate"
"151","BUD","LHBP","Budapest Liszt Ferenc International Airport",47.42976,19.261093,"Temperate"
"152","MCT","OOMS","Muscat International Airport",23.59329987,58.28440094,"Temperate"
"153","STL","KSTL","St Louis Lambert International Airport",38.748697,-90.370003,"Temperate"
"154","NNG","ZGNN","Nanning Wuxu Airport",22.608299,108.171997,"Tropical"
"155","SJC","KSJC","Norman Y. Mineta San Jose International Airport",37.362598,-121.929001,"Temperate"
"156","ITM","RJOO","Osaka International Airport",34.78549957,135.4380035,"Temperate"
"157","KWI","OKBK","Kuwait International Airport",29.22660065,47.96889877,"Temperate"
"158","FOC","ZSFZ","Fuzhou Changle International Airport",25.93510056,119.663002,"Temperate"
"159","EDI","EGPH","Edinburgh Airport",55.95000076,-3.372499943,"Temperate"
"160","ALC","LEAL","Alicante International Airport",38.28219986,-0.558156013,"Temperate"
