"iata","icao","name","lat","lon","zone"
"ESB","LTAC","Esenboğa International Airport",40.12810135,32.99509811,"Temperate"
"BGY","LIME","Milan Bergamo Airport",45.673901,9.70417,"Temperate"
"MSY","KMSY","Louis Armstrong New Orleans International Airport",29.99340057,-90.25800323,"Temperate"
"RDU","KRDU","Raleigh Durham International Airport",35.87760162,-78.78749847,"Temperate"
"CGQ","ZYCC","Longjia Airport",43.99620056,125.6849976,"Temperate"
"PER","YPPH","Perth International Airport",-31.94029999,115.9670029,"Temperate"
"AEP","SABE","Jorge Newbery Airpark",-34.5592,-58.4156,"Temperate"
"OAK","KOAK","Metropolitan Oakland International Airport",37.721298,-122.221001,"Temperate"
"ADD","HAAB","Addis Ababa Bole International Airport",8.977890015,38.79930115,"Tropical"
"TYN","ZBYN","Taiyuan Wusu Airport",37.74689865,112.6279984,"Temperate"
"STR","EDDS","Stuttgart Airport",48.68989944,9.221960068,"Temperate"
"SMF","KSMF","Sacramento International Airport",38.69540024,-121.5910034,"Temperate"
"BHX","EGBB","Birmingham International Airport",52.45389938,-1.748029947,"Temperate"
"EZE","SAEZ","Ministro Pistarini International Airport",-34.8222,-58.5358,"Temperate"
"OPO","LPPR","Francisco de Sá Carneiro Airport",41.24810028,-8.681389809,"Temperate"
"CEB","RPVM","Mactan Cebu International Airport",10.30749989,123.9789963,"Tropical"
"KHN","ZSCN","Nanchang Changbei International Airport",28.86499977,115.9000015,"Temperate"
"NGO","RJGG","Chubu Centrair International Airport",34.85839844,136.8049927,"Temperate"
"CGN","EDDK","Cologne Bonn Airport",50.86589813,7.142739773,"Temperate"
"HET","ZBHH","Baita International Airport",40.851398,111.823997,"Temperate"
"WNZ","ZSWZ","Wenzhou Longwan International Airport",27.912201,120.851997,"Temperate"
"ZUH","ZGSD","Zhuhai Jinwan Airport",22.006399,113.375999,"Tropical"
"LPA","GCLP","Gran Canaria Airport",27.93190002,-15.38659954,"Temperate"
"AMD","VAAH","Sardar Vallabhbhai Patel International Airport",23.07719994,72.63469696,"Tropical"
"LYS","LFLL","Lyon Saint-Exupéry Airport",45.725556,5.081111,"Temperate"
"ADB","LTBJ","Adnan Menderes International Airport",38.29240036,27.15699959,"Temperate"
"NGB","ZSNB","Ningbo Lishe International Airport",29.82670021,121.461998,"Temperate"
"VCE","LIPZ","Venice Marco Polo Airport",45.505299,12.3519,"Temperate"
"MCI","KMCI","Kansas City International Airport",39.2976,-94.713898,"Temperate"
"HFE","ZSOF","Hefei Luogang International Airport",31.78000069,117.2979965,"Temperate"
"KBP","UKBB","Boryspil International Airport",50.34500122,30.8946991,"Temperate"
"CNX","VTCC","Chiang Mai International Airport",18.76679993,98.96260071,"Tropical"
"UPG","WAAA","Hasanuddin International Airport",-5.061629772,119.5540009,"Tropical"
"MTY","MMMY","General Mariano Escobedo International Airport",25.7784996,-100.1070023,"Temperate"
"DAC","VGHS","Hazrat Shahjalal International Airport",23.843347,90.397783,"Temperate"
"COK","VOCI","Cochin International Airport",10.152,76.401901,"Tropical"
"NAP","LIRN","Naples International Airport",40.886002,14.2908,"Temperate"
"CNF","SBCF","Tancredo Neves International Airport",-19.62444305,-43.9719429,"Tropical"
